epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1426.24,0.99992,2.57668,1.27657,0.59243,0.56937,0.56914,0.3733,1.14797,2.61256,1.43768,0.000415522,0.000415522,0.000415522
2,2835.07,1.22025,2.16137,1.44016,0.40946,0.46154,0.4247,0.25629,1.27945,2.34616,1.53268,0.000799234,0.000799234,0.000799234
3,4258.13,1.27512,1.93465,1.49349,0.48196,0.4328,0.37836,0.23881,1.35632,2.34511,1.64455,0.00114995,0.00114995,0.00114995
4,5646.68,1.24319,1.80438,1.46854,0.55036,0.48398,0.48482,0.30315,1.34418,1.91696,1.60146,0.0011015,0.0011015,0.0011015
5,7047.98,1.19413,1.67338,1.42055,0.52504,0.53352,0.52024,0.34874,1.1963,1.69253,1.44265,0.001052,0.001052,0.001052
6,8452.32,1.14894,1.59675,1.3912,0.63837,0.51859,0.55124,0.38025,1.12054,1.56797,1.38831,0.0010025,0.0010025,0.0010025
7,9859.02,1.09878,1.51303,1.35844,0.62242,0.52979,0.5532,0.38502,1.09524,1.55088,1.38259,0.000953,0.000953,0.000953
8,11266.2,1.07003,1.43693,1.33485,0.70713,0.59785,0.64821,0.45304,1.04886,1.30256,1.31275,0.0009035,0.0009035,0.0009035
9,12665.6,1.03488,1.35191,1.31218,0.73085,0.59843,0.6606,0.47468,1.04894,1.28863,1.33453,0.000854,0.000854,0.000854
10,14068.8,1.02941,1.32603,1.30823,0.69044,0.6486,0.66028,0.47749,1.00438,1.30025,1.28714,0.0008045,0.0008045,0.0008045
11,15466.5,1.00004,1.28577,1.27739,0.71081,0.62358,0.66745,0.48438,0.9884,1.24399,1.26523,0.000755,0.000755,0.000755
12,16855.7,0.97572,1.25968,1.27673,0.71477,0.60201,0.66056,0.48672,0.97664,1.23231,1.25094,0.0007055,0.0007055,0.0007055
13,18247.1,0.94739,1.18795,1.2469,0.72509,0.65288,0.69683,0.51506,0.94853,1.14928,1.24251,0.000656,0.000656,0.000656
14,19634,0.94215,1.15759,1.23798,0.73979,0.69737,0.72313,0.53729,0.96286,1.05999,1.24957,0.0006065,0.0006065,0.0006065
15,21030.6,0.9175,1.11541,1.23235,0.71327,0.69326,0.71356,0.5351,0.90445,1.05582,1.20309,0.000557,0.000557,0.000557
16,22424.5,0.90469,1.05849,1.24578,0.73692,0.67256,0.71283,0.52733,0.93503,1.0697,1.22136,0.0005075,0.0005075,0.0005075
17,23811.7,0.86553,0.99163,1.20459,0.75259,0.68628,0.72689,0.54331,0.91036,1.02007,1.20075,0.000458,0.000458,0.000458
18,25208.4,0.83431,0.95531,1.18135,0.75695,0.74844,0.76539,0.5755,0.88087,0.94367,1.18399,0.0004085,0.0004085,0.0004085
19,26585.6,0.81944,0.92534,1.17344,0.7776,0.7034,0.74847,0.56675,0.8755,0.94745,1.17767,0.000359,0.000359,0.000359
20,27979.8,0.80685,0.89098,1.15093,0.73733,0.7374,0.75096,0.5742,0.84944,0.94721,1.16414,0.0003095,0.0003095,0.0003095
21,29353.9,0.77408,0.85453,1.13591,0.73485,0.75483,0.76296,0.59233,0.83521,0.89776,1.14577,0.00026,0.00026,0.00026
22,30721,0.75571,0.79294,1.11193,0.78631,0.72464,0.76511,0.59309,0.83221,0.88332,1.14296,0.0002105,0.0002105,0.0002105
23,32142.8,0.74254,0.77837,1.10104,0.7572,0.76016,0.77135,0.59648,0.82049,0.87167,1.13297,0.000161,0.000161,0.000161
24,33576.2,0.72144,0.75524,1.09288,0.79214,0.73517,0.78052,0.6079,0.80768,0.84566,1.12373,0.0001115,0.0001115,0.0001115
25,35073.3,0.69752,0.71162,1.07501,0.80034,0.73585,0.77831,0.60915,0.78985,0.84343,1.1126,6.2e-05,6.2e-05,6.2e-05
