epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1038.84,3.04701,4.11001,3.44893,0.82452,0.02397,0.02424,0.00865,2.41638,2.98453,2.75144,0.00333261,0.00333261,0.00333261
2,1956.48,2.00734,2.65012,2.16276,0.34545,0.17056,0.11937,0.05682,1.83494,2.11614,1.97553,0.00659995,0.00659995,0.00659995
3,2890.79,1.7671,2.22419,1.86746,0.40779,0.2236,0.19121,0.10174,1.63824,1.81925,1.76147,0.00980129,0.00980129,0.00980129
4,4006.06,1.64775,2.01062,1.73061,0.35853,0.28897,0.27278,0.15623,1.52838,1.62198,1.64284,0.009703,0.009703,0.009703
5,5098.63,1.55679,1.84191,1.63567,0.42735,0.31979,0.32312,0.19421,1.46015,1.49256,1.57008,0.009604,0.009604,0.009604
6,6179.65,1.50036,1.7437,1.58328,0.47421,0.34099,0.35454,0.21916,1.40687,1.41273,1.51522,0.009505,0.009505,0.009505
7,7400.68,1.46306,1.66871,1.54369,0.49936,0.35748,0.3781,0.23656,1.37167,1.35472,1.48206,0.009406,0.009406,0.009406
8,8673.43,1.43183,1.61542,1.5142,0.5194,0.37305,0.39734,0.2533,1.34631,1.31114,1.45603,0.009307,0.009307,0.009307
9,9811.84,1.41078,1.57729,1.49178,0.53012,0.38702,0.41271,0.26351,1.32485,1.27978,1.43347,0.009208,0.009208,0.009208
10,11049.8,1.39383,1.54255,1.47061,0.53012,0.40327,0.42463,0.27315,1.3095,1.25422,1.41671,0.009109,0.009109,0.009109
11,12295.8,1.37831,1.51635,1.45362,0.56433,0.39993,0.43534,0.28142,1.29809,1.23447,1.40345,0.00901,0.00901,0.00901
12,13548,1.36181,1.48555,1.43775,0.5622,0.40798,0.44241,0.28775,1.28883,1.22041,1.3937,0.008911,0.008911,0.008911
13,14825.9,1.35513,1.46857,1.42763,0.56799,0.41197,0.44902,0.29296,1.28144,1.21042,1.38566,0.008812,0.008812,0.008812
14,16058.2,1.34464,1.45413,1.41812,0.57225,0.41471,0.45353,0.29669,1.27527,1.20174,1.37931,0.008713,0.008713,0.008713
15,17329,1.3332,1.42588,1.40226,0.57969,0.41787,0.45788,0.30063,1.27031,1.19408,1.37322,0.008614,0.008614,0.008614
