epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1051.17,2.92753,3.95587,3.31229,0.8492,0.03828,0.03873,0.01562,2.1802,2.63548,2.40187,0.00333279,0.00333279,0.00333279
2,2100.45,1.90472,2.47004,2.05077,0.27168,0.20107,0.16722,0.08418,1.74138,1.94059,1.87541,0.00663313,0.00663313,0.00663313
3,3114.77,1.70385,2.10295,1.79872,0.35973,0.25915,0.24335,0.13674,1.58412,1.68889,1.68583,0.00990046,0.00990046,0.00990046
4,4114.54,1.59588,1.90993,1.67862,0.41793,0.2992,0.31254,0.18848,1.4807,1.51537,1.58077,0.0098515,0.0098515,0.0098515
5,5148.47,1.51001,1.75251,1.58977,0.45395,0.35417,0.35621,0.22076,1.41915,1.40749,1.51421,0.009802,0.009802,0.009802
6,6175.4,1.45939,1.66494,1.54106,0.48827,0.37063,0.38383,0.24442,1.3752,1.34419,1.47223,0.0097525,0.0097525,0.0097525
7,7173.93,1.42416,1.60286,1.5034,0.50475,0.38427,0.40287,0.25875,1.34838,1.30371,1.44506,0.009703,0.009703,0.009703
8,8183.78,1.39699,1.55414,1.47735,0.52931,0.3952,0.42046,0.27004,1.33055,1.27856,1.42684,0.0096535,0.0096535,0.0096535
9,9200.01,1.37836,1.52134,1.4588,0.54069,0.40327,0.43231,0.27862,1.3184,1.26066,1.41432,0.009604,0.009604,0.009604
10,10203.9,1.36179,1.4887,1.43935,0.5505,0.40576,0.43909,0.28428,1.3093,1.25008,1.4044,0.0095545,0.0095545,0.0095545
11,11212,1.35045,1.46318,1.42387,0.55624,0.40964,0.44523,0.28974,1.30197,1.24266,1.39623,0.009505,0.009505,0.009505
12,12220.5,1.34133,1.44923,1.41586,0.56575,0.40752,0.44815,0.29289,1.29383,1.23726,1.38794,0.0094555,0.0094555,0.0094555
13,13408.8,1.32969,1.42641,1.40161,0.59468,0.40252,0.45258,0.29657,1.28735,1.23379,1.3804,0.009406,0.009406,0.009406
14,14856.9,1.31745,1.40951,1.39126,0.59449,0.40948,0.45725,0.2999,1.28077,1.22845,1.37321,0.0093565,0.0093565,0.0093565
15,16290,1.31356,1.39311,1.3818,0.60473,0.41282,0.46141,0.30367,1.27457,1.22403,1.36598,0.009307,0.009307,0.009307
16,17709.1,1.30367,1.3827,1.3721,0.5963,0.42068,0.46552,0.30689,1.26847,1.21797,1.35876,0.0092575,0.0092575,0.0092575
17,19238.5,1.30238,1.3745,1.36799,0.60946,0.42117,0.47014,0.31039,1.26247,1.21291,1.35165,0.009208,0.009208,0.009208
18,20474.5,1.29229,1.36336,1.35849,0.61424,0.42605,0.47531,0.31479,1.25718,1.20859,1.34459,0.0091585,0.0091585,0.0091585
19,21654.8,1.28872,1.35629,1.35352,0.62193,0.42783,0.48011,0.31867,1.25126,1.20175,1.33757,0.009109,0.009109,0.009109
20,22843.8,1.28345,1.3452,1.34651,0.62775,0.42962,0.48536,0.32272,1.24583,1.19487,1.33088,0.0090595,0.0090595,0.0090595
21,1147.97,1.29811,1.38,1.36935,0.62962,0.43655,0.49233,0.32718,1.24121,1.17725,1.32615,0.00901,0.00901,0.00901
22,2237.21,1.29787,1.37113,1.36369,0.62309,0.44792,0.49764,0.33077,1.23676,1.16239,1.32092,0.0089605,0.0089605,0.0089605
23,3274.46,1.2925,1.36302,1.35802,0.6324,0.45152,0.50245,0.33442,1.23211,1.15172,1.31565,0.008911,0.008911,0.008911
24,4273,1.28738,1.35582,1.35057,0.63403,0.45712,0.50714,0.33878,1.2282,1.14314,1.31083,0.0088615,0.0088615,0.0088615
25,5360.34,1.27975,1.3388,1.34345,0.63842,0.45673,0.51023,0.34158,1.22449,1.13557,1.30658,0.008812,0.008812,0.008812
26,6617.58,1.27677,1.33613,1.34064,0.63987,0.4589,0.51303,0.34398,1.22056,1.12911,1.30175,0.0087625,0.0087625,0.0087625
27,7991.3,1.27432,1.33066,1.33415,0.64158,0.46358,0.51687,0.34674,1.21666,1.12314,1.29713,0.008713,0.008713,0.008713
28,9379.22,1.26915,1.32051,1.33028,0.64579,0.46448,0.52004,0.34947,1.21293,1.11748,1.29267,0.0086635,0.0086635,0.0086635
29,10777.9,1.26731,1.3182,1.32624,0.64518,0.46666,0.52231,0.35113,1.2092,1.11224,1.28809,0.008614,0.008614,0.008614
30,12107.3,1.26191,1.31021,1.32048,0.65062,0.46506,0.52519,0.35394,1.20513,1.10679,1.28338,0.0085645,0.0085645,0.0085645
31,13442.7,1.26036,1.30356,1.31685,0.65589,0.46594,0.52824,0.35643,1.20143,1.10238,1.27913,0.008515,0.008515,0.008515
32,14802.1,1.25919,1.30214,1.31629,0.65622,0.47047,0.53071,0.35871,1.19783,1.09706,1.27477,0.0084655,0.0084655,0.0084655
33,16148.9,1.25486,1.29197,1.30972,0.66542,0.47183,0.53312,0.36119,1.19447,1.09198,1.27102,0.008416,0.008416,0.008416
34,17522.2,1.25058,1.2879,1.30794,0.67421,0.47119,0.53637,0.3636,1.19098,1.08539,1.26681,0.0083665,0.0083665,0.0083665
35,18867.1,1.25057,1.28152,1.30379,0.67453,0.47518,0.5396,0.3656,1.18706,1.07968,1.26244,0.008317,0.008317,0.008317
36,20202.6,1.24558,1.27974,1.2982,0.66703,0.47821,0.54219,0.36805,1.18304,1.07367,1.25813,0.0082675,0.0082675,0.0082675
37,21547.5,1.2467,1.27875,1.29947,0.67638,0.47765,0.54482,0.36995,1.17947,1.06795,1.25411,0.008218,0.008218,0.008218
38,22885.1,1.24256,1.27013,1.29609,0.67643,0.48202,0.54767,0.37253,1.17675,1.06181,1.25049,0.0081685,0.0081685,0.0081685
39,24215.1,1.24083,1.27022,1.29536,0.68169,0.48507,0.5505,0.3755,1.17454,1.05626,1.24776,0.008119,0.008119,0.008119
40,25533.1,1.23834,1.26534,1.29115,0.68249,0.48863,0.55243,0.3765,1.17134,1.05151,1.24405,0.0080695,0.0080695,0.0080695
41,26866.2,1.2373,1.26452,1.28895,0.69149,0.48473,0.5545,0.37801,1.16878,1.04633,1.24058,0.00802,0.00802,0.00802
42,28192.6,1.2347,1.26354,1.28597,0.6986,0.48293,0.55637,0.37993,1.16705,1.04131,1.23793,0.0079705,0.0079705,0.0079705
43,29516.7,1.2328,1.25603,1.28449,0.68684,0.489,0.55799,0.38155,1.16549,1.03685,1.23529,0.007921,0.007921,0.007921
44,30841,1.23119,1.25272,1.28163,0.69212,0.48683,0.55938,0.38226,1.16403,1.03278,1.23293,0.0078715,0.0078715,0.0078715
45,32164.9,1.23025,1.25153,1.28041,0.68686,0.49029,0.56162,0.38417,1.16271,1.02877,1.23072,0.007822,0.007822,0.007822
46,33480.5,1.22644,1.24746,1.27558,0.6853,0.49206,0.5635,0.38577,1.16116,1.02506,1.22775,0.0077725,0.0077725,0.0077725
47,34796,1.22729,1.24439,1.27453,0.6857,0.49435,0.56554,0.38718,1.1594,1.0206,1.22527,0.007723,0.007723,0.007723
48,36122.3,1.22451,1.24346,1.27269,0.68492,0.4982,0.5676,0.389,1.15741,1.01613,1.22281,0.0076735,0.0076735,0.0076735
49,37454.3,1.22052,1.23831,1.26962,0.67441,0.50494,0.56892,0.39011,1.15526,1.01254,1.2203,0.007624,0.007624,0.007624
50,38789.2,1.22104,1.23843,1.27036,0.67719,0.50732,0.57048,0.39113,1.15399,1.0091,1.21824,0.0075745,0.0075745,0.0075745
51,39905.7,1.21795,1.23659,1.26993,0.67326,0.50936,0.57202,0.39208,1.15264,1.00584,1.21681,0.007525,0.007525,0.007525
52,41309.7,1.21917,1.23298,1.26747,0.6815,0.50678,0.57337,0.39328,1.15105,1.00284,1.21488,0.0074755,0.0074755,0.0074755
53,42640,1.21838,1.23385,1.26677,0.67895,0.50825,0.57427,0.39433,1.1497,0.99951,1.21303,0.007426,0.007426,0.007426
54,43970.5,1.21295,1.22592,1.26305,0.67683,0.51063,0.57527,0.39489,1.14771,0.99659,1.21058,0.0073765,0.0073765,0.0073765
55,45364.2,1.21711,1.22959,1.26501,0.68006,0.51275,0.57619,0.39551,1.14626,0.99446,1.20871,0.007327,0.007327,0.007327
56,46515,1.21542,1.22198,1.26162,0.68712,0.50931,0.57728,0.39673,1.14479,0.99129,1.2066,0.0072775,0.0072775,0.0072775
57,47534.6,1.21017,1.22095,1.25924,0.68827,0.50932,0.5782,0.39762,1.14359,0.98889,1.20454,0.007228,0.007228,0.007228
