epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1203.9,3.07671,4.10905,3.48341,0.80044,0.03256,0.02396,0.00857,2.37571,2.88703,2.57214,0.00333202,0.00333202,0.00333202
2,2318.41,1.94052,2.50347,2.0944,0.23624,0.19243,0.14578,0.07073,1.79362,2.03213,1.9328,0.00663236,0.00663236,0.00663236
3,3268.2,1.68533,2.04181,1.77822,0.46743,0.26764,0.25218,0.14117,1.60222,1.67585,1.69053,0.0098997,0.0098997,0.0098997
4,4252.23,1.57667,1.84369,1.65336,0.46302,0.31515,0.32454,0.1928,1.4847,1.495,1.57209,0.0098515,0.0098515,0.0098515
5,5270.61,1.49438,1.69743,1.56647,0.47951,0.3648,0.36719,0.22453,1.41826,1.38337,1.50216,0.009802,0.009802,0.009802
6,6266.05,1.44661,1.61421,1.51795,0.54305,0.3702,0.40216,0.25042,1.3771,1.31901,1.45765,0.0097525,0.0097525,0.0097525
7,7299.22,1.41119,1.5522,1.48243,0.5452,0.39762,0.42429,0.26804,1.34585,1.26919,1.42563,0.009703,0.009703,0.009703
8,8214.55,1.38966,1.50851,1.4534,0.56051,0.41187,0.44733,0.28501,1.32548,1.22952,1.40198,0.0096535,0.0096535,0.0096535
9,9211.01,1.37058,1.47616,1.43458,0.56889,0.42711,0.46216,0.29688,1.30738,1.20422,1.38231,0.009604,0.009604,0.009604
10,10478.6,1.34851,1.43914,1.41317,0.58729,0.42973,0.47232,0.30339,1.29406,1.18586,1.36905,0.0095545,0.0095545,0.0095545
11,11774,1.34039,1.42178,1.40213,0.58919,0.43951,0.48011,0.3106,1.28432,1.17226,1.35959,0.009505,0.009505,0.009505
12,13105.7,1.33031,1.40139,1.38731,0.59836,0.44032,0.48687,0.31515,1.27794,1.16249,1.35211,0.0094555,0.0094555,0.0094555
13,14375.1,1.31988,1.38988,1.37637,0.60616,0.44241,0.49068,0.31892,1.27209,1.15523,1.34517,0.009406,0.009406,0.009406
14,15661,1.31034,1.36936,1.36851,0.61643,0.44014,0.49326,0.32186,1.26666,1.14873,1.34005,0.0093565,0.0093565,0.0093565
15,16951.9,1.30034,1.35457,1.35664,0.61763,0.44231,0.496,0.3246,1.26176,1.14308,1.33606,0.009307,0.009307,0.009307
16,18215,1.29702,1.34687,1.35207,0.61968,0.44548,0.49893,0.32719,1.2573,1.13908,1.33156,0.0092575,0.0092575,0.0092575
17,19497.4,1.29071,1.3378,1.34521,0.62781,0.44267,0.50098,0.32947,1.25267,1.13568,1.32649,0.009208,0.009208,0.009208
18,20776.5,1.28513,1.32847,1.33636,0.61486,0.4498,0.50329,0.33172,1.2485,1.13182,1.32155,0.0091585,0.0091585,0.0091585
19,22048.3,1.27942,1.31719,1.32988,0.62922,0.44972,0.50588,0.33444,1.24448,1.12924,1.31711,0.009109,0.009109,0.009109
20,23341.3,1.27649,1.3102,1.32505,0.63341,0.44766,0.5083,0.33675,1.24068,1.12767,1.31258,0.0090595,0.0090595,0.0090595
21,24676,1.2735,1.30766,1.32178,0.63998,0.44842,0.51041,0.33949,1.2371,1.12501,1.30789,0.00901,0.00901,0.00901
22,26065.6,1.26614,1.29505,1.31559,0.64595,0.44998,0.51242,0.3413,1.23381,1.12264,1.30376,0.0089605,0.0089605,0.0089605
23,27357.3,1.26471,1.28584,1.30999,0.64838,0.45174,0.51545,0.34329,1.23035,1.12036,1.29921,0.008911,0.008911,0.008911
24,28646.8,1.26109,1.28411,1.30558,0.6526,0.45221,0.51658,0.3461,1.22703,1.11825,1.29505,0.0088615,0.0088615,0.0088615
25,29927,1.25891,1.27746,1.30156,0.65659,0.45467,0.5194,0.34898,1.2243,1.11582,1.29069,0.008812,0.008812,0.008812
26,31202.5,1.25441,1.27347,1.29595,0.66006,0.45674,0.52244,0.35123,1.22116,1.11338,1.2863,0.0087625,0.0087625,0.0087625
27,32502.5,1.24928,1.26661,1.29121,0.66654,0.45741,0.52543,0.35335,1.21844,1.11008,1.28205,0.008713,0.008713,0.008713
28,33782.4,1.2489,1.26579,1.28923,0.67123,0.46035,0.52871,0.35596,1.21474,1.10576,1.27759,0.0086635,0.0086635,0.0086635
29,35078.3,1.24763,1.25923,1.28734,0.67155,0.46318,0.53062,0.35789,1.21147,1.10142,1.27349,0.008614,0.008614,0.008614
30,36384.1,1.24116,1.25693,1.28344,0.67681,0.46293,0.53282,0.35984,1.20776,1.09698,1.26929,0.0085645,0.0085645,0.0085645
31,37679.9,1.23914,1.24994,1.28249,0.67488,0.46693,0.53619,0.3623,1.20446,1.09124,1.26559,0.008515,0.008515,0.008515
32,38996.7,1.23577,1.24773,1.27812,0.67783,0.47011,0.53859,0.36462,1.20099,1.08631,1.26138,0.0084655,0.0084655,0.0084655
33,1180.33,1.24224,1.25668,1.28977,0.67492,0.47584,0.54257,0.36681,1.19734,1.0744,1.25779,0.008416,0.008416,0.008416
