epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1027.89,3.07662,4.11382,3.48265,0.68406,0.03339,0.02833,0.01065,2.30122,2.78816,2.60234,0.00333205,0.00333205,0.00333205
2,2028.63,1.95738,2.52796,2.10815,0.24228,0.182,0.14619,0.07135,1.78389,2.02759,1.89517,0.00663239,0.00663239,0.00663239
3,3004.47,1.69215,2.04342,1.78614,0.31907,0.25497,0.23496,0.12961,1.59969,1.71035,1.69643,0.00989973,0.00989973,0.00989973
4,3973.56,1.59124,1.85331,1.66428,0.41368,0.31824,0.31385,0.18714,1.47785,1.50543,1.57013,0.0098515,0.0098515,0.0098515
5,4948.89,1.49902,1.70083,1.5784,0.486,0.35856,0.36875,0.22561,1.40971,1.38821,1.49937,0.009802,0.009802,0.009802
6,5926.29,1.45308,1.61295,1.52587,0.49719,0.38831,0.40418,0.25339,1.36327,1.30775,1.45401,0.0097525,0.0097525,0.0097525
7,6877.76,1.41462,1.54989,1.48797,0.5457,0.39799,0.429,0.27136,1.33026,1.25817,1.41896,0.009703,0.009703,0.009703
8,7855.8,1.38716,1.50203,1.46022,0.58194,0.41213,0.45274,0.28861,1.30269,1.22066,1.3923,0.0096535,0.0096535,0.0096535
9,8825.61,1.37056,1.47297,1.44139,0.57901,0.42351,0.46445,0.29824,1.286,1.19459,1.37581,0.009604,0.009604,0.009604
10,9801.75,1.35611,1.44501,1.42376,0.5844,0.43368,0.47675,0.30767,1.27492,1.17576,1.36321,0.0095545,0.0095545,0.0095545
11,10783.1,1.34202,1.42448,1.40988,0.58575,0.44474,0.4836,0.31421,1.26453,1.16354,1.35263,0.009505,0.009505,0.009505
12,11769.1,1.329,1.40322,1.39389,0.59689,0.44935,0.49055,0.31967,1.25774,1.1541,1.34436,0.0094555,0.0094555,0.0094555
13,12749.5,1.31507,1.38436,1.38223,0.59487,0.45472,0.49592,0.32334,1.25172,1.14763,1.33797,0.009406,0.009406,0.009406
14,13732.6,1.30885,1.36969,1.3715,0.60712,0.45384,0.49891,0.32676,1.24619,1.14238,1.33164,0.0093565,0.0093565,0.0093565
15,14718.8,1.30455,1.3577,1.36599,0.61001,0.45217,0.50195,0.32912,1.24165,1.1375,1.3263,0.009307,0.009307,0.009307
16,15708.1,1.29374,1.34438,1.3536,0.61388,0.45201,0.50559,0.33265,1.23756,1.13377,1.32136,0.0092575,0.0092575,0.0092575
17,16696.3,1.28867,1.33545,1.34538,0.61446,0.45531,0.50797,0.33541,1.23354,1.13045,1.31634,0.009208,0.009208,0.009208
18,17672.2,1.28156,1.32398,1.33763,0.61183,0.45932,0.50992,0.33818,1.23019,1.12717,1.31179,0.0091585,0.0091585,0.0091585
19,18634.4,1.27725,1.31236,1.33359,0.62033,0.45767,0.51213,0.34055,1.2268,1.12427,1.30738,0.009109,0.009109,0.009109
20,19577.1,1.27203,1.30782,1.32399,0.62534,0.45892,0.515,0.34298,1.2224,1.12163,1.30204,0.0090595,0.0090595,0.0090595
21,20546.4,1.2682,1.30151,1.31892,0.62651,0.4643,0.51734,0.34536,1.21838,1.11891,1.29647,0.00901,0.00901,0.00901
22,21515.1,1.26364,1.29219,1.31377,0.633,0.4654,0.51975,0.34716,1.21438,1.11679,1.29112,0.0089605,0.0089605,0.0089605
23,22462.2,1.25966,1.28392,1.30731,0.63639,0.46741,0.52146,0.34964,1.21055,1.1156,1.28584,0.008911,0.008911,0.008911
24,23436.9,1.25848,1.28483,1.30638,0.64045,0.47161,0.52475,0.35245,1.207,1.1135,1.28111,0.0088615,0.0088615,0.0088615
25,24410.2,1.25415,1.27853,1.30198,0.64122,0.47145,0.52749,0.35429,1.20386,1.11043,1.27635,0.008812,0.008812,0.008812
26,25359.1,1.25527,1.26928,1.29668,0.64351,0.47453,0.52977,0.357,1.2003,1.10776,1.27146,0.0087625,0.0087625,0.0087625
27,26389.5,1.24707,1.26867,1.29266,0.6453,0.47705,0.53266,0.35945,1.19653,1.10468,1.26689,0.008713,0.008713,0.008713
28,27467.8,1.24687,1.26115,1.28975,0.64831,0.47883,0.53486,0.36167,1.19243,1.10127,1.26189,0.0086635,0.0086635,0.0086635
29,28427.5,1.24495,1.257,1.28641,0.64973,0.48009,0.5365,0.36421,1.18869,1.09635,1.25775,0.008614,0.008614,0.008614
