fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01,0.01188,0.98,0.00057,3.07698,0.80979,6.61122,0.44706,1.5,0.01487,0.66756,0.4,0.0,0.1,0.46355,0.0,0.0,0.0,0.62895,0.0,0.94915,0.0,0.0
0.0,0.01413,0.01482,0.98,0.00057,3.79616,0.78581,7.83477,0.34022,1.7635,0.01809,0.63918,0.41924,0.0,0.13695,0.35289,0.0,0.0,0.0,0.42135,0.0,0.94915,0.0,0.0
0.0,0.01131,0.01325,0.97077,0.0005,2.89912,0.80979,7.38378,0.35061,1.67144,0.01808,0.66756,0.44032,0.0,0.08803,0.42266,0.0,0.0,0.0,0.62895,0.0,0.97685,0.0,0.0
0.0,0.01526,0.01511,0.91158,0.00049,3.1648,0.88418,6.1873,0.34022,1.5111,0.01809,0.44815,0.35415,0.0,0.1393,0.42066,0.0,0.0,0.0,0.34406,0.0,0.9683,0.0,0.0
0.0,0.01573,0.01655,0.90833,0.00049,3.06873,0.8505,6.69263,0.34708,1.70904,0.01809,0.44399,0.34954,0.0,0.13807,0.43372,0.0,0.0,0.0,0.34406,0.0,0.90584,0.0,0.0
0.0,0.01413,0.01639,0.98,0.00057,4.00771,0.77118,7.74548,0.34022,1.74063,0.02008,0.52608,0.41924,0.0,0.13029,0.37316,0.0,0.0,0.0,0.41492,0.0,1.0,0.0,0.0
0.0,0.01003,0.00925,0.9462,0.0005,2.79299,0.87399,7.5,0.58209,1.58166,0.0149,0.66975,0.40565,0.0,0.10662,0.44298,0.0,0.0,0.0,0.48358,0.0,1.0,0.0,0.0
0.0,0.01,0.01007,0.92152,0.0005,3.0,0.84332,7.81594,0.49009,1.45178,0.015,0.65473,0.41682,0.0,0.09709,0.52876,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00911,0.01134,0.95959,0.00057,3.07698,0.81474,6.61122,0.43031,1.5,0.01461,0.6937,0.4,0.0,0.09483,0.42776,0.0,0.0,0.0,0.64619,0.0,1.0,0.0,0.0
0.0,0.01131,0.01323,0.97077,0.0005,2.89821,0.81077,7.38378,0.35061,1.67329,0.01809,0.66684,0.44032,0.0,0.08799,0.42294,0.0,0.0,0.0,0.62853,0.0,0.97786,0.0,0.0
0.0,0.01384,0.01633,0.92391,0.0004,3.3254,0.90651,5.51003,0.30066,1.68365,0.01809,0.38447,0.33255,0.0,0.1433,0.4331,0.0,0.0,0.0,0.32945,0.0,0.9683,0.0,0.0
0.0,0.01029,0.01067,0.98,0.00063,3.33892,0.80979,6.58428,0.44706,1.48404,0.01396,0.68875,0.41449,0.0,0.1,0.44238,0.0,0.0,0.0,0.6269,0.0,1.0,0.0,0.0
0.0,0.01084,0.01293,0.95752,0.00065,3.76868,0.89286,6.3562,0.38129,1.32845,0.01436,0.65864,0.4,0.0,0.09829,0.52125,0.0,0.0,0.0,0.74985,0.0,0.95579,0.0,0.0
0.0,0.00875,0.01084,0.92574,0.00052,3.0,0.77088,7.20861,0.50418,1.44761,0.01657,0.6935,0.3578,0.0,0.09461,0.55063,0.0,0.0,0.0,0.4868,0.0,0.83755,0.0,0.0
0.0,0.01359,0.01478,0.97775,0.00057,3.79616,0.76878,7.83477,0.34022,1.7635,0.01809,0.6358,0.43148,0.0,0.13385,0.35883,0.0,0.0,0.0,0.41859,0.0,0.89511,0.0,0.0
0.0,0.01,0.01188,0.96305,0.00061,3.04697,0.76899,6.19397,0.42572,1.54702,0.01487,0.66756,0.40906,0.0,0.09972,0.46355,0.0,0.0,0.0,0.6183,0.0,0.8352,0.0,0.0
0.0,0.01124,0.01322,0.98,0.00057,3.4752,0.74804,7.83477,0.33706,1.52198,0.01809,0.47885,0.30087,0.0,0.17509,0.13177,0.0,0.0,0.0,0.42135,0.0,0.84332,0.0,0.0
0.0,0.0096,0.01112,0.91937,0.00051,2.92312,0.84705,7.79826,0.52852,1.32747,0.01432,0.69303,0.40596,0.0,0.08523,0.49689,0.0,0.0,0.0,0.48819,0.0,0.90401,0.0,0.0
0.0,0.01413,0.01304,0.8924,0.00065,4.03666,0.69047,7.83477,0.34022,1.77396,0.02015,0.7754,0.42799,0.0,0.14124,0.43423,0.0,0.0,0.0,0.51168,0.0,1.0,0.0,0.0
0.0,0.01526,0.01394,0.88236,0.00049,3.27484,0.91887,6.24728,0.33353,1.38757,0.02032,0.44815,0.36502,0.0,0.14464,0.42066,0.0,0.0,0.0,0.30807,0.0,0.97577,0.0,0.0
0.0,0.01413,0.01137,0.98,0.00063,3.08584,0.84169,6.38221,0.34022,2.15599,0.01809,0.65213,0.32198,0.0,0.12104,0.39465,0.0,0.0,0.0,0.45686,0.0,0.91928,0.0,0.0
0.0,0.01258,0.01472,0.98,0.0005,3.54627,0.80979,4.79557,0.28207,1.3137,0.01749,0.70084,0.39952,0.0,0.08803,0.42266,0.0,0.0,0.0,0.40565,0.0,0.70194,0.0,0.0
0.0,0.01323,0.0161,0.96772,0.00058,3.86746,0.74607,7.83477,0.36367,1.7635,0.01888,0.63918,0.41896,0.0,0.13695,0.34504,0.0,0.0,0.0,0.40136,0.0,1.0,0.0,0.0
0.0,0.00961,0.01543,0.98,0.00077,3.75118,0.95,5.55868,0.40012,1.03144,0.01492,0.71711,0.49387,0.0,0.04439,0.46355,0.0,0.0,0.0,0.62895,0.0,1.0,0.0,0.0
0.0,0.01215,0.01555,0.85532,0.00049,3.1648,0.85601,6.1873,0.40766,1.5111,0.01764,0.44815,0.31728,0.0,0.11717,0.41904,0.0,0.0,0.0,0.35275,0.0,1.0,0.0,0.0
0.0,0.01043,0.01145,0.97325,0.00054,2.90691,0.76972,6.22845,0.4275,1.44065,0.0148,0.67911,0.37636,0.0,0.10187,0.48095,0.0,0.0,0.0,0.60807,0.0,0.97622,0.0,0.0
0.0,0.01407,0.01463,0.97702,0.00057,3.79616,0.75233,7.94629,0.3419,1.88264,0.01792,0.67152,0.41525,0.0,0.13281,0.34342,0.0,0.0,0.0,0.42135,0.0,0.85807,0.0,0.0
0.0,0.00913,0.01944,0.90229,0.00031,3.19806,0.95,6.41158,0.31364,1.96865,0.01541,0.43093,0.37357,0.0,0.11933,0.45018,0.0,0.0,0.0,0.38563,0.0,1.0,0.0,0.0
0.0,0.01524,0.01274,0.91158,0.00046,3.1648,0.82241,6.14573,0.34022,1.60692,0.01809,0.41816,0.40571,0.0,0.14863,0.42066,0.0,0.0,0.0,0.36561,0.0,1.0,0.0,0.0
0.0,0.01356,0.00776,0.98,0.00053,3.63516,0.82007,7.86553,0.35161,1.67144,0.0207,0.63412,0.44032,0.0,0.12454,0.42266,0.0,0.0,0.0,0.40159,0.0,0.81311,0.0,0.0
0.0,0.01131,0.01386,0.9795,0.00046,2.89912,0.77083,7.26488,0.32311,1.64082,0.01687,0.66972,0.45138,0.0,0.07994,0.46354,0.0,0.0,0.0,0.64032,0.0,0.89553,0.0,0.0
