epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,739.847,2.55873,3.39617,2.67169,0.30755,0.14121,0.09685,0.04166,2.0028,2.33843,1.97709,0.000277622,0.000277622,0.000277622
2,1440.95,1.82856,2.26198,1.77468,0.36067,0.24138,0.22416,0.11849,1.70509,1.83293,1.68404,0.000445341,0.000445341,0.000445341
3,2127.31,1.65322,1.96418,1.61812,0.46554,0.2916,0.30129,0.17474,1.57044,1.62104,1.55564,0.000503105,0.000503105,0.000503105
4,2806.91,1.55101,1.79189,1.52956,0.49603,0.33347,0.34692,0.20954,1.49222,1.49552,1.48418,0.000338198,0.000338198,0.000338198
5,3487.27,1.47739,1.66238,1.47133,0.53874,0.35113,0.37659,0.23059,1.45091,1.42569,1.44689,0.000173264,0.000173264,0.000173264
1,742.481,2.48553,3.57229,2.48816,0.3017,0.12953,0.09374,0.04019,1.94807,2.44454,1.83475,0.000251302,0.000251302,0.000251302
2,1444.85,1.77328,2.37141,1.65044,0.32762,0.25035,0.22592,0.12116,1.65311,1.92302,1.55314,0.000403036,0.000403036,0.000403036
3,2132.81,1.59793,2.04871,1.49657,0.50646,0.28694,0.29914,0.17412,1.51866,1.68562,1.43366,0.000455153,0.000455153,0.000455153
4,2813.45,1.49694,1.86205,1.41217,0.55163,0.31781,0.34717,0.21012,1.44227,1.55552,1.36846,0.000337773,0.000337773,0.000337773
5,3493.39,1.42293,1.72353,1.35802,0.55437,0.34107,0.37557,0.231,1.40079,1.47765,1.33493,0.000172698,0.000172698,0.000172698
1,743.716,2.87825,3.19229,2.55932,0.28733,0.12214,0.08475,0.03685,2.28465,2.18452,1.88867,0.000238276,0.000238276,0.000238276
2,1448.73,2.05713,2.13106,1.68743,0.35753,0.24588,0.21969,0.11646,1.90925,1.71506,1.57872,0.000381982,0.000381982,0.000381982
3,2138.76,1.84693,1.83939,1.52773,0.52113,0.28758,0.29395,0.17011,1.75447,1.51065,1.46596,0.000431071,0.000431071,0.000431071
4,2818.53,1.73274,1.67401,1.44327,0.50148,0.32708,0.3374,0.20237,1.67001,1.39544,1.39939,0.000336919,0.000336919,0.000336919
5,3499.13,1.64586,1.55107,1.38646,0.55741,0.33819,0.36663,0.22536,1.62292,1.32825,1.36481,0.000171558,0.000171558,0.000171558
1,742.861,2.6442,3.32656,2.54069,0.33487,0.13971,0.09199,0.03942,2.09109,2.27711,1.8864,0.000269477,0.000269477,0.000269477
2,1445.31,1.88524,2.21829,1.68767,0.46598,0.24192,0.22239,0.11935,1.75821,1.7897,1.58853,0.000432179,0.000432179,0.000432179
3,2133.19,1.703,1.92599,1.53121,0.43067,0.28485,0.29201,0.17062,1.61396,1.58505,1.46965,0.000488054,0.000488054,0.000488054
4,2815.14,1.59026,1.75339,1.44495,0.51151,0.33015,0.34024,0.20565,1.53723,1.46105,1.40373,0.000337748,0.000337748,0.000337748
5,3496.89,1.51136,1.62526,1.38829,0.53963,0.34985,0.36997,0.22699,1.49403,1.39382,1.36646,0.000172664,0.000172664,0.000172664
1,747.228,2.63426,3.35451,3.34341,0.29076,0.10508,0.081,0.03421,2.07715,2.29114,2.47743,0.000217734,0.000217734,0.000217734
2,1454.94,1.88428,2.2485,2.21917,0.32494,0.22769,0.20475,0.10932,1.75717,1.80832,2.08104,0.000349252,0.000349252,0.000349252
3,2144.12,1.69075,1.93346,2.003,0.51359,0.26827,0.28187,0.16406,1.61283,1.59167,1.91801,0.000394509,0.000394509,0.000394509
4,2826.81,1.58666,1.76201,1.892,0.48576,0.31145,0.331,0.19879,1.5337,1.46609,1.83407,0.000338068,0.000338068,0.000338068
