epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.761,3.4839,4.47495,3.81228,0.16581,0.03445,0.00633,0.00179,3.08509,3.50506,3.25369,0.00333137,0.00333137,0.00333137
2,728.91,2.54454,3.3197,2.58293,0.21393,0.1634,0.10455,0.04408,2.28849,2.68197,2.30099,0.00663171,0.00663171,0.00663171
3,1062.32,2.14709,2.69104,2.09756,0.26912,0.23768,0.18143,0.08756,2.07078,2.39838,2.04153,0.00989905,0.00989905,0.00989905
4,1414.98,1.98063,2.41039,1.91594,0.3657,0.28079,0.26676,0.14344,1.92096,2.126,1.86077,0.0098515,0.0098515,0.0098515
5,1733.54,1.8782,2.22459,1.80804,0.39593,0.29735,0.29573,0.16717,1.81391,1.96528,1.75623,0.009802,0.009802,0.009802
6,2054.07,1.79974,2.09976,1.73863,0.49797,0.32707,0.35111,0.20505,1.76995,1.88279,1.70155,0.0097525,0.0097525,0.0097525
7,2375.47,1.75049,2.01733,1.68185,0.48548,0.36585,0.37266,0.21911,1.73326,1.83771,1.65411,0.009703,0.009703,0.009703
8,2692.43,1.71435,1.94586,1.64934,0.52054,0.38456,0.40721,0.24281,1.67015,1.72101,1.60167,0.0096535,0.0096535,0.0096535
9,3030.96,1.68235,1.89182,1.62304,0.54866,0.40042,0.43134,0.26071,1.64297,1.66371,1.58407,0.009604,0.009604,0.009604
10,3402.16,1.65966,1.84812,1.5969,0.55887,0.41329,0.44507,0.27152,1.62242,1.61672,1.5595,0.0095545,0.0095545,0.0095545
11,3751.44,1.63891,1.80632,1.57614,0.5774,0.42824,0.46231,0.28158,1.5913,1.57275,1.52821,0.009505,0.009505,0.009505
12,4106.17,1.62556,1.7836,1.56275,0.5927,0.43117,0.4742,0.29469,1.56888,1.5368,1.5145,0.0094555,0.0094555,0.0094555
13,4502.02,1.60554,1.73624,1.54454,0.6075,0.43642,0.4844,0.30359,1.55205,1.51831,1.4928,0.009406,0.009406,0.009406
14,4932.41,1.59526,1.72389,1.53256,0.61964,0.4524,0.5026,0.31923,1.53211,1.47462,1.47847,0.0093565,0.0093565,0.0093565
15,5425.35,1.5837,1.69402,1.5195,0.6184,0.46087,0.5053,0.31821,1.51784,1.45609,1.46396,0.009307,0.009307,0.009307
16,5796.78,1.57364,1.67234,1.50929,0.62619,0.45847,0.51294,0.32816,1.50233,1.43298,1.45202,0.0092575,0.0092575,0.0092575
17,6184.51,1.55659,1.65449,1.50153,0.63066,0.47465,0.52355,0.33317,1.49613,1.41356,1.44213,0.009208,0.009208,0.009208
18,6560.57,1.54709,1.63548,1.48789,0.63992,0.47281,0.5305,0.33949,1.48119,1.39115,1.43148,0.0091585,0.0091585,0.0091585
