epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.052,3.57013,4.55695,3.94509,0.01251,0.01712,0.00449,0.00141,3.18086,3.72327,3.32237,0.00332842,0.00332842,0.00332842
2,356.654,2.61617,3.3783,2.65145,0.15945,0.1731,0.08545,0.03461,2.35418,2.86104,2.36993,0.00662878,0.00662878,0.00662878
3,526.795,2.13201,2.64994,2.07512,0.30212,0.22426,0.17624,0.08791,2.04576,2.4761,2.00925,0.00989614,0.00989614,0.00989614
4,695.029,1.95727,2.33989,1.8882,0.35253,0.25928,0.24615,0.13462,1.8871,2.15701,1.83389,0.0098515,0.0098515,0.0098515
5,864.071,1.84745,2.1694,1.7829,0.4945,0.30337,0.32066,0.18289,1.81471,1.93938,1.76874,0.009802,0.009802,0.009802
6,1032.3,1.79027,2.06169,1.71909,0.46151,0.33793,0.3491,0.20005,1.76951,1.86206,1.69977,0.0097525,0.0097525,0.0097525
7,1199.22,1.73677,1.9597,1.66723,0.50725,0.3633,0.38085,0.22512,1.72038,1.7677,1.65002,0.009703,0.009703,0.009703
8,1367.51,1.70176,1.89688,1.62998,0.54016,0.3768,0.40563,0.24033,1.688,1.71975,1.61184,0.0096535,0.0096535,0.0096535
9,1534.29,1.67122,1.8467,1.60264,0.55758,0.39762,0.4274,0.25969,1.64447,1.66252,1.58482,0.009604,0.009604,0.009604
10,1701.61,1.64406,1.79534,1.57417,0.56659,0.38151,0.42635,0.25699,1.64486,1.68539,1.56971,0.0095545,0.0095545,0.0095545
11,1869.43,1.62497,1.7514,1.55069,0.57588,0.41248,0.45099,0.27535,1.6035,1.57356,1.53044,0.009505,0.009505,0.009505
12,2038.63,1.61228,1.72806,1.53877,0.59935,0.43028,0.47145,0.29248,1.58183,1.55097,1.51664,0.0094555,0.0094555,0.0094555
13,2205.77,1.59542,1.70372,1.52671,0.61361,0.42374,0.48094,0.30008,1.56069,1.50744,1.49215,0.009406,0.009406,0.009406
14,2374.21,1.58283,1.67444,1.51354,0.63051,0.43665,0.49111,0.30817,1.5435,1.48397,1.47481,0.0093565,0.0093565,0.0093565
15,2541.79,1.56757,1.64748,1.49735,0.62353,0.44581,0.50014,0.31829,1.5238,1.45432,1.46117,0.009307,0.009307,0.009307
16,2709.47,1.55301,1.62319,1.4873,0.6339,0.45523,0.51478,0.32535,1.51446,1.43117,1.4521,0.0092575,0.0092575,0.0092575
17,2876.68,1.54953,1.61018,1.48112,0.63411,0.46272,0.52039,0.33213,1.49826,1.41171,1.43742,0.009208,0.009208,0.009208
18,3044.12,1.53929,1.59902,1.47508,0.65413,0.46452,0.52609,0.33666,1.49068,1.39113,1.42634,0.0091585,0.0091585,0.0091585
19,3211.5,1.52739,1.57363,1.45774,0.67382,0.46245,0.5351,0.34187,1.48007,1.36368,1.42071,0.009109,0.009109,0.009109
20,3380.55,1.52448,1.56484,1.45172,0.65005,0.47922,0.54123,0.34879,1.46991,1.35363,1.40769,0.0090595,0.0090595,0.0090595
21,3548.13,1.51154,1.54438,1.44286,0.66856,0.48261,0.55109,0.35494,1.45824,1.33559,1.39678,0.00901,0.00901,0.00901
22,3714.71,1.50174,1.52997,1.43455,0.66537,0.48443,0.5527,0.35809,1.44688,1.32099,1.38916,0.0089605,0.0089605,0.0089605
23,3881.24,1.50354,1.5283,1.43656,0.67274,0.48471,0.55855,0.36228,1.43875,1.30933,1.38354,0.008911,0.008911,0.008911
24,4048.15,1.48992,1.50554,1.42433,0.68628,0.48791,0.56236,0.36568,1.43107,1.29547,1.37563,0.0088615,0.0088615,0.0088615
25,4214.8,1.48905,1.50273,1.42358,0.66053,0.50232,0.56712,0.36981,1.42504,1.2835,1.37108,0.008812,0.008812,0.008812
26,4383.81,1.47823,1.48565,1.41341,0.66592,0.5007,0.56852,0.37163,1.42033,1.27721,1.36369,0.0087625,0.0087625,0.0087625
27,4550.86,1.47543,1.47697,1.41064,0.69074,0.49653,0.57171,0.37411,1.41277,1.26408,1.3582,0.008713,0.008713,0.008713
28,4717.88,1.46644,1.47081,1.40435,0.68171,0.50599,0.57566,0.37837,1.40561,1.25805,1.35276,0.0086635,0.0086635,0.0086635
29,4884.46,1.46582,1.46097,1.40107,0.6746,0.50775,0.57841,0.38083,1.39942,1.25147,1.34776,0.008614,0.008614,0.008614
30,5051.53,1.464,1.45697,1.3987,0.67776,0.50775,0.57791,0.38239,1.3971,1.24634,1.34313,0.0085645,0.0085645,0.0085645
