epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.742,1.09882,3.91969,3.56294,0.09614,0.11224,0.04903,0.01709,0.87482,3.8423,2.77333,0.00490819,0.00490819,0.00490819
2,540.734,0.75994,2.66243,2.34555,0.30971,0.23057,0.20006,0.09966,0.72176,2.34327,2.19826,0.0097748,0.0097748,0.0097748
3,787.795,0.68083,2.31381,2.0896,0.38549,0.28871,0.26978,0.14997,0.67428,2.12122,2.0311,0.00990097,0.00990097,0.00990097
4,1031.4,0.64799,2.14792,1.98587,0.42984,0.30467,0.30574,0.17245,0.64836,2.00298,1.95369,0.00985145,0.00985145,0.00985145
5,1272.18,0.62648,2.02975,1.90992,0.5064,0.32029,0.34057,0.1911,0.63462,1.89228,1.89501,0.00980194,0.00980194,0.00980194
6,1512.63,0.60846,1.93671,1.86317,0.49601,0.35168,0.37299,0.2189,0.61161,1.78787,1.83116,0.00975242,0.00975242,0.00975242
7,1752.91,0.59735,1.88143,1.82573,0.53909,0.37556,0.40679,0.24071,0.59752,1.73868,1.77907,0.0097029,0.0097029,0.0097029
8,1993.36,0.58606,1.82412,1.7939,0.57315,0.38568,0.42311,0.25148,0.5903,1.66277,1.75314,0.00965339,0.00965339,0.00965339
9,2234.22,0.58041,1.78791,1.77334,0.55977,0.39106,0.42844,0.25416,0.58724,1.65464,1.75289,0.00960387,0.00960387,0.00960387
10,2474.96,0.56988,1.73597,1.73752,0.58163,0.41566,0.45346,0.27233,0.57759,1.58037,1.71317,0.00955436,0.00955436,0.00955436
11,2717.23,0.5645,1.71626,1.72506,0.57576,0.42699,0.46663,0.28341,0.56298,1.53116,1.69492,0.00950484,0.00950484,0.00950484
12,2962.96,0.55985,1.67945,1.70891,0.61101,0.42761,0.47858,0.29202,0.56001,1.51542,1.67447,0.00945532,0.00945532,0.00945532
13,3208.56,0.55437,1.66271,1.69685,0.60287,0.43719,0.48155,0.29477,0.55419,1.49095,1.66184,0.00940581,0.00940581,0.00940581
14,3504.29,0.55071,1.64316,1.68619,0.61183,0.44819,0.4968,0.30752,0.54774,1.4584,1.64081,0.00935629,0.00935629,0.00935629
15,3833.67,0.54578,1.61065,1.66698,0.64289,0.44106,0.50304,0.31238,0.53922,1.43809,1.6178,0.00930678,0.00930678,0.00930678
16,4161.87,0.54276,1.60069,1.66105,0.65296,0.45771,0.51419,0.32273,0.5357,1.40711,1.60717,0.00925726,0.00925726,0.00925726
17,4493.1,0.54042,1.58981,1.65316,0.63431,0.47033,0.5236,0.33033,0.53152,1.3898,1.59054,0.00920774,0.00920774,0.00920774
18,4823.72,0.53645,1.57168,1.64771,0.65248,0.46149,0.52714,0.33475,0.52774,1.36879,1.58457,0.00915823,0.00915823,0.00915823
19,5155.49,0.53383,1.55014,1.6315,0.65549,0.47409,0.53667,0.34211,0.52285,1.35327,1.57202,0.00910871,0.00910871,0.00910871
20,5485.92,0.53051,1.54355,1.62461,0.65288,0.48949,0.54067,0.34598,0.51788,1.33706,1.55692,0.0090592,0.0090592,0.0090592
21,5817.04,0.52745,1.52796,1.61671,0.66421,0.48348,0.54785,0.35164,0.51363,1.32545,1.54921,0.00900968,0.00900968,0.00900968
22,6149.85,0.52622,1.51599,1.61347,0.66978,0.49054,0.55386,0.35546,0.51141,1.30603,1.54231,0.00896016,0.00896016,0.00896016
23,6499.13,0.52366,1.50445,1.60968,0.65842,0.49234,0.55172,0.35653,0.50894,1.29852,1.54022,0.00891065,0.00891065,0.00891065
24,6847.58,0.52114,1.49487,1.59532,0.67197,0.50191,0.56304,0.36371,0.50595,1.27802,1.52412,0.00886113,0.00886113,0.00886113
25,7191.99,0.51782,1.4853,1.594,0.67452,0.49879,0.5643,0.36547,0.50474,1.27154,1.52439,0.00881162,0.00881162,0.00881162
26,7538.47,0.51978,1.47868,1.58791,0.69118,0.5007,0.56943,0.37015,0.50241,1.25826,1.51691,0.0087621,0.0087621,0.0087621
27,7897.91,0.51856,1.47076,1.58656,0.68882,0.5025,0.57394,0.37366,0.4993,1.24968,1.50746,0.00871258,0.00871258,0.00871258
28,8251.59,0.51436,1.46239,1.57728,0.69301,0.50434,0.57432,0.37608,0.49839,1.24584,1.50184,0.00866307,0.00866307,0.00866307
29,8596.17,0.51284,1.45057,1.57411,0.68515,0.50767,0.57587,0.37881,0.49597,1.23702,1.49591,0.00861355,0.00861355,0.00861355
30,8958.58,0.51231,1.44366,1.57357,0.68195,0.51187,0.58051,0.38295,0.49381,1.22947,1.49379,0.00856404,0.00856404,0.00856404
