epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.242,3.48809,4.45899,3.7993,0.19804,0.02759,0.01187,0.00311,2.92671,3.33472,3.06019,0.00333137,0.00333137,0.00333137
2,934.413,2.52155,3.27658,2.55738,0.16197,0.15675,0.08823,0.0368,2.28892,3.06907,2.25197,0.00663171,0.00663171,0.00663171
3,1337.89,2.1348,2.68203,2.10052,0.29184,0.2247,0.17918,0.08509,2.06991,2.41675,1.99868,0.00989905,0.00989905,0.00989905
4,1722.52,1.97481,2.40568,1.91353,0.35621,0.27955,0.25754,0.13842,1.90328,2.09541,1.83168,0.0098515,0.0098515,0.0098515
5,2098.82,1.86691,2.22133,1.80559,0.4442,0.30921,0.30649,0.17058,1.8275,1.96544,1.75591,0.009802,0.009802,0.009802
6,2476.53,1.79378,2.09824,1.73227,0.44964,0.34154,0.344,0.19709,1.73987,1.83147,1.68675,0.0097525,0.0097525,0.0097525
7,2852.38,1.74978,2.00674,1.68359,0.50389,0.37051,0.38727,0.22803,1.70501,1.75494,1.64304,0.009703,0.009703,0.009703
8,3227.71,1.70868,1.94711,1.65196,0.53392,0.38939,0.41013,0.24422,1.66739,1.68338,1.6022,0.0096535,0.0096535,0.0096535
9,3604.39,1.68445,1.88625,1.61411,0.52741,0.40179,0.42871,0.25754,1.64528,1.63213,1.5732,0.009604,0.009604,0.009604
10,3980.26,1.65593,1.84255,1.59098,0.56531,0.41246,0.44649,0.27123,1.61047,1.57939,1.54377,0.0095545,0.0095545,0.0095545
11,4355.05,1.63674,1.80786,1.57575,0.57959,0.42819,0.46121,0.2819,1.59382,1.54607,1.52705,0.009505,0.009505,0.009505
12,4731.49,1.62025,1.76895,1.5583,0.59269,0.43363,0.47752,0.29498,1.56585,1.50405,1.50732,0.0094555,0.0094555,0.0094555
13,5108.19,1.60151,1.73848,1.54165,0.60084,0.44153,0.48872,0.30402,1.54948,1.47353,1.49212,0.009406,0.009406,0.009406
14,5484.98,1.5883,1.71397,1.53009,0.61967,0.45125,0.50292,0.3151,1.53316,1.44884,1.47359,0.0093565,0.0093565,0.0093565
15,5862.33,1.57691,1.68673,1.51419,0.61562,0.45482,0.50635,0.32037,1.51765,1.4248,1.4556,0.009307,0.009307,0.009307
16,6238.43,1.56479,1.67035,1.50432,0.63359,0.46517,0.51865,0.32896,1.50285,1.40495,1.44699,0.0092575,0.0092575,0.0092575
17,6615.88,1.55336,1.65465,1.49741,0.63859,0.46827,0.52609,0.3358,1.48947,1.38215,1.43497,0.009208,0.009208,0.009208
18,6992.39,1.54679,1.62505,1.49021,0.63958,0.47629,0.53285,0.34122,1.47799,1.36205,1.42229,0.0091585,0.0091585,0.0091585
19,7368.91,1.53838,1.61725,1.48038,0.65313,0.47293,0.53721,0.34365,1.46522,1.34827,1.41305,0.009109,0.009109,0.009109
20,7747.02,1.52714,1.59904,1.46979,0.65822,0.48087,0.54366,0.34946,1.4536,1.33203,1.40272,0.0090595,0.0090595,0.0090595
21,8125.7,1.52269,1.58932,1.46224,0.66695,0.48118,0.54974,0.35412,1.44732,1.31812,1.39255,0.00901,0.00901,0.00901
22,8501.95,1.51187,1.57492,1.45652,0.66427,0.48773,0.55482,0.35674,1.44103,1.30723,1.38966,0.0089605,0.0089605,0.0089605
23,8880.14,1.50902,1.55952,1.45333,0.66798,0.48922,0.55771,0.36101,1.43179,1.29412,1.38065,0.008911,0.008911,0.008911
24,9259.22,1.50033,1.5442,1.44026,0.67497,0.49448,0.56449,0.36614,1.42311,1.28131,1.37248,0.0088615,0.0088615,0.0088615
25,9637.29,1.49841,1.54616,1.43776,0.67197,0.50252,0.56726,0.36915,1.41605,1.27316,1.36504,0.008812,0.008812,0.008812
26,10016,1.48966,1.53759,1.43151,0.66847,0.50931,0.57016,0.37205,1.41042,1.26489,1.35928,0.0087625,0.0087625,0.0087625
27,10391.8,1.48861,1.52535,1.42543,0.68156,0.50755,0.57303,0.37377,1.40597,1.25815,1.3539,0.008713,0.008713,0.008713
28,10770.9,1.47971,1.5108,1.42142,0.6768,0.51273,0.57604,0.37669,1.40015,1.24696,1.34962,0.0086635,0.0086635,0.0086635
29,11149.3,1.47543,1.49661,1.41362,0.67947,0.51074,0.57849,0.37869,1.39575,1.24022,1.34392,0.008614,0.008614,0.008614
30,11528.5,1.47094,1.49397,1.40787,0.68395,0.5093,0.58079,0.38044,1.39153,1.23355,1.33987,0.0085645,0.0085645,0.0085645
31,11908.1,1.46369,1.48276,1.40307,0.68349,0.5074,0.58109,0.38135,1.38706,1.2288,1.33657,0.008515,0.008515,0.008515
32,12287.4,1.46172,1.47696,1.40207,0.67937,0.51398,0.58334,0.3832,1.38359,1.22426,1.33317,0.0084655,0.0084655,0.0084655
33,12666.2,1.45656,1.46872,1.39888,0.68289,0.51659,0.58597,0.38482,1.38038,1.21993,1.3302,0.008416,0.008416,0.008416
34,13047.1,1.45174,1.46142,1.39226,0.68597,0.51574,0.58772,0.38652,1.37713,1.21552,1.32716,0.0083665,0.0083665,0.0083665
35,13426.1,1.44865,1.45401,1.38968,0.68248,0.51921,0.58999,0.38758,1.37497,1.21144,1.32535,0.008317,0.008317,0.008317
36,13803,1.44263,1.44368,1.3841,0.69104,0.51743,0.59113,0.38864,1.37248,1.20775,1.32308,0.0082675,0.0082675,0.0082675
37,14181.6,1.44,1.43553,1.38123,0.68609,0.52173,0.59241,0.38967,1.3704,1.20478,1.321,0.008218,0.008218,0.008218
38,14561.2,1.43986,1.43516,1.37948,0.68617,0.52418,0.59341,0.3912,1.36797,1.20182,1.31899,0.0081685,0.0081685,0.0081685
39,14940.5,1.43766,1.42647,1.37506,0.68637,0.52618,0.59443,0.39206,1.36578,1.19913,1.31705,0.008119,0.008119,0.008119
40,15320.9,1.43345,1.42598,1.37736,0.6884,0.52664,0.5958,0.39297,1.36408,1.19696,1.31546,0.0080695,0.0080695,0.0080695
41,15703.6,1.42983,1.42135,1.37269,0.6832,0.53032,0.59655,0.39384,1.36218,1.19452,1.31387,0.00802,0.00802,0.00802
42,16083.3,1.42583,1.41829,1.36947,0.68517,0.53052,0.59727,0.39432,1.3605,1.19232,1.31242,0.0079705,0.0079705,0.0079705
43,16463,1.42715,1.40334,1.36712,0.68968,0.52916,0.59797,0.39523,1.35899,1.19004,1.311,0.007921,0.007921,0.007921
44,16843,1.42227,1.40406,1.36498,0.68675,0.53049,0.59836,0.39599,1.35749,1.18835,1.30978,0.0078715,0.0078715,0.0078715
45,17223.4,1.41929,1.39555,1.36028,0.68808,0.5309,0.59942,0.39698,1.3559,1.18628,1.30825,0.007822,0.007822,0.007822
46,17604.5,1.4146,1.39211,1.35957,0.69473,0.52912,0.60017,0.39747,1.35435,1.18399,1.30673,0.0077725,0.0077725,0.0077725
47,17986.1,1.41299,1.39014,1.3532,0.69377,0.53116,0.60107,0.39829,1.35313,1.18216,1.3054,0.007723,0.007723,0.007723
48,18366.8,1.40992,1.39073,1.35501,0.6957,0.53021,0.60147,0.39894,1.35154,1.18001,1.30399,0.0076735,0.0076735,0.0076735
49,18747.7,1.4055,1.38302,1.34938,0.69468,0.53265,0.60209,0.39947,1.35014,1.17807,1.30268,0.007624,0.007624,0.007624
50,19130.5,1.404,1.3796,1.34935,0.69448,0.53365,0.60304,0.40024,1.34875,1.17612,1.30133,0.0075745,0.0075745,0.0075745
51,19513.8,1.40368,1.37613,1.34973,0.69692,0.53351,0.60317,0.40085,1.34753,1.17477,1.30026,0.007525,0.007525,0.007525
52,19895.8,1.40431,1.37111,1.34502,0.69563,0.5356,0.60399,0.40154,1.34633,1.17338,1.29907,0.0074755,0.0074755,0.0074755
53,20278.6,1.3992,1.36507,1.34051,0.69586,0.53626,0.60463,0.40224,1.34498,1.1719,1.29762,0.007426,0.007426,0.007426
54,20660.9,1.40151,1.36413,1.34383,0.6998,0.53478,0.605,0.40312,1.34357,1.17043,1.29626,0.0073765,0.0073765,0.0073765
55,21033.3,1.39489,1.35707,1.3364,0.70186,0.53464,0.60531,0.40341,1.34251,1.16901,1.29512,0.007327,0.007327,0.007327
56,21408.3,1.39344,1.35656,1.33535,0.70215,0.53442,0.60572,0.40418,1.34104,1.16758,1.29387,0.0072775,0.0072775,0.0072775
