epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,823.89,0.8418,3.12346,2.85211,0.3141,0.15847,0.12021,0.05598,0.65457,2.14194,2.1725,0.00491429,0.00491429,0.00491429
2,1540.67,0.60095,2.1051,1.9827,0.37092,0.26479,0.24582,0.13294,0.56307,1.6975,1.84899,0.00978072,0.00978072,0.00978072
3,2222.12,0.5537,1.86481,1.82613,0.56382,0.30154,0.32259,0.19009,0.52005,1.49784,1.714,0.00990097,0.00990097,0.00990097
4,2894.18,0.52847,1.72626,1.74604,0.52106,0.34053,0.36498,0.22224,0.49613,1.38231,1.64533,0.00985145,0.00985145,0.00985145
5,3564.89,0.51173,1.64913,1.69753,0.5152,0.38897,0.40097,0.24999,0.48068,1.31029,1.59325,0.00980194,0.00980194,0.00980194
6,4241.64,0.50188,1.59161,1.66328,0.52916,0.40146,0.42435,0.26858,0.46952,1.26481,1.5622,0.00975242,0.00975242,0.00975242
7,4920.79,0.49428,1.55713,1.63988,0.55457,0.41016,0.44102,0.28272,0.46272,1.22641,1.54056,0.0097029,0.0097029,0.0097029
8,5591.05,0.4876,1.52264,1.62111,0.57415,0.41526,0.45435,0.29298,0.45575,1.2046,1.52194,0.00965339,0.00965339,0.00965339
9,6260.92,0.48205,1.49667,1.60286,0.58984,0.41835,0.46119,0.30055,0.45206,1.19074,1.51015,0.00960387,0.00960387,0.00960387
10,6931.3,0.47898,1.47521,1.58915,0.59264,0.42485,0.46758,0.30624,0.44916,1.18065,1.50123,0.00955436,0.00955436,0.00955436
11,7600.65,0.47525,1.46362,1.58194,0.60971,0.42455,0.47137,0.30925,0.44682,1.17548,1.49435,0.00950484,0.00950484,0.00950484
12,8270.7,0.47349,1.44767,1.56923,0.6075,0.42752,0.47462,0.31209,0.44489,1.17097,1.48859,0.00945532,0.00945532,0.00945532
