epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,618.685,0.88971,3.27554,3.03383,0.26089,0.15069,0.10277,0.04608,0.67368,2.33166,2.27081,0.00491329,0.00491329,0.00491329
2,1234.38,0.60643,2.09446,2.01344,0.39833,0.25521,0.2464,0.13249,0.57135,1.72877,1.88056,0.00977992,0.00977992,0.00977992
3,1830.49,0.54758,1.80012,1.82295,0.52146,0.2997,0.32044,0.18447,0.52939,1.50659,1.74959,0.00990097,0.00990097,0.00990097
4,2438.99,0.52436,1.67793,1.74986,0.50013,0.33747,0.36013,0.21778,0.50616,1.41155,1.68387,0.00985145,0.00985145,0.00985145
5,3035.49,0.50783,1.60049,1.70088,0.51304,0.36972,0.39594,0.24705,0.48501,1.31684,1.61776,0.00980194,0.00980194,0.00980194
6,3637.73,0.49743,1.55062,1.67123,0.55924,0.39603,0.43137,0.27212,0.47384,1.25775,1.58617,0.00975242,0.00975242,0.00975242
7,4250.86,0.49075,1.51337,1.64849,0.59681,0.40796,0.45644,0.29183,0.46378,1.22114,1.55865,0.0097029,0.0097029,0.0097029
8,4872.02,0.48513,1.48397,1.62602,0.59499,0.42515,0.47049,0.30498,0.45543,1.18536,1.52946,0.00965339,0.00965339,0.00965339
9,5483.54,0.47998,1.45911,1.60826,0.62889,0.43157,0.48265,0.31465,0.4493,1.16062,1.5137,0.00960387,0.00960387,0.00960387
10,6098.37,0.47572,1.43879,1.59495,0.6266,0.43829,0.49125,0.32223,0.44509,1.14189,1.50149,0.00955436,0.00955436,0.00955436
11,6712.73,0.47171,1.42399,1.58204,0.63676,0.44076,0.49794,0.32795,0.44203,1.13138,1.49213,0.00950484,0.00950484,0.00950484
12,7329.52,0.47052,1.41084,1.57141,0.64011,0.43986,0.50241,0.33157,0.4394,1.12159,1.48255,0.00945532,0.00945532,0.00945532
13,7938.55,0.46693,1.39833,1.56287,0.63724,0.44943,0.50516,0.33465,0.4375,1.11521,1.47596,0.00940581,0.00940581,0.00940581
14,8541.09,0.46531,1.3892,1.55521,0.64924,0.4438,0.50806,0.33615,0.43611,1.11196,1.47136,0.00935629,0.00935629,0.00935629
15,9142.88,0.46384,1.38179,1.5472,0.64401,0.44931,0.51023,0.33801,0.43497,1.10893,1.46727,0.00930678,0.00930678,0.00930678
16,9742.31,0.46114,1.36744,1.53335,0.65264,0.44822,0.51019,0.33957,0.43396,1.10739,1.46291,0.00925726,0.00925726,0.00925726
17,10340.7,0.46045,1.36221,1.52817,0.66175,0.44847,0.51205,0.34146,0.43322,1.10704,1.4596,0.00920774,0.00920774,0.00920774
18,10960.9,0.45809,1.35395,1.52351,0.66206,0.44981,0.5133,0.34231,0.43251,1.10843,1.45635,0.00915823,0.00915823,0.00915823
19,11560.1,0.45676,1.34421,1.5141,0.66239,0.45172,0.51385,0.34346,0.43208,1.11071,1.45392,0.00910871,0.00910871,0.00910871
20,12159,0.45579,1.34282,1.50815,0.66733,0.45096,0.51404,0.34431,0.43159,1.11425,1.45146,0.0090592,0.0090592,0.0090592
21,12757.2,0.45439,1.3371,1.50305,0.67417,0.4488,0.51473,0.34486,0.43102,1.11787,1.44903,0.00900968,0.00900968,0.00900968
22,13371.6,0.45365,1.32697,1.49814,0.66917,0.45024,0.51435,0.34517,0.43032,1.12234,1.44631,0.00896016,0.00896016,0.00896016
23,13969.7,0.45169,1.32569,1.49356,0.67042,0.45027,0.51471,0.34615,0.42982,1.12631,1.44422,0.00891065,0.00891065,0.00891065
24,14567.5,0.45069,1.31818,1.48787,0.67604,0.4515,0.51512,0.34719,0.42929,1.12997,1.44124,0.00886113,0.00886113,0.00886113
25,15165.2,0.45009,1.3147,1.4841,0.67742,0.44949,0.51495,0.34746,0.4288,1.13434,1.43884,0.00881162,0.00881162,0.00881162
26,15765.9,0.44948,1.31319,1.4816,0.67591,0.44775,0.51413,0.34748,0.42846,1.13781,1.43624,0.0087621,0.0087621,0.0087621
27,16363.3,0.44828,1.30726,1.47653,0.68874,0.44652,0.51506,0.34891,0.4278,1.14011,1.43282,0.00871258,0.00871258,0.00871258
28,16966.4,0.44736,1.30023,1.47342,0.6873,0.44749,0.51549,0.34989,0.42727,1.14046,1.42955,0.00866307,0.00866307,0.00866307
29,17565.2,0.44713,1.29758,1.47205,0.68856,0.44704,0.51572,0.3504,0.42684,1.14076,1.42663,0.00861355,0.00861355,0.00861355
30,18170.3,0.44592,1.29179,1.46546,0.69032,0.44701,0.51695,0.35206,0.42594,1.14031,1.42267,0.00856404,0.00856404,0.00856404
31,18766.8,0.44521,1.29194,1.46202,0.69095,0.44768,0.51881,0.35391,0.42486,1.13783,1.41818,0.00851452,0.00851452,0.00851452
