epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1415.21,3.56563,7.70681,4.82583,0.77452,0.01513,0.00943,0.00275,2.97055,5.37481,3.93275,0.00389486,0.00389486,0.00389486
2,25884.3,2.38639,5.10743,3.16903,0.28282,0.12252,0.09059,0.04009,2.08232,3.81009,2.72825,0.00775181,0.00775181,0.00775181
3,27152.3,1.92595,3.94866,2.49432,0.30571,0.25029,0.21109,0.11546,1.76026,3.0847,2.25521,0.00990107,0.00990107,0.00990107
4,28279.9,1.72449,3.37602,2.21584,0.41634,0.3065,0.30787,0.18175,1.61822,2.69093,2.07395,0.0098516,0.0098516,0.0098516
5,29487.7,1.62077,3.06935,2.08416,0.48116,0.34179,0.35394,0.21754,1.54279,2.47828,1.9816,0.00980214,0.00980214,0.00980214
6,30626.6,1.5582,2.88787,2.00774,0.49682,0.37394,0.38888,0.24132,1.49041,2.34688,1.91206,0.00975267,0.00975267,0.00975267
7,31720.4,1.51528,2.76834,1.95545,0.51229,0.40496,0.41443,0.2605,1.4533,2.2577,1.8711,0.0097032,0.0097032,0.0097032
8,32814.2,1.48857,2.67968,1.91811,0.53238,0.41542,0.43232,0.27493,1.43241,2.20316,1.84386,0.00965374,0.00965374,0.00965374
9,33950.7,1.45897,2.61017,1.8842,0.5497,0.42131,0.44446,0.28397,1.41637,2.16371,1.823,0.00960427,0.00960427,0.00960427
10,35120,1.4404,2.55618,1.85568,0.56778,0.42356,0.45325,0.29133,1.4045,2.13735,1.80668,0.00955481,0.00955481,0.00955481
11,36254.1,1.42195,2.49965,1.83317,0.57249,0.42548,0.45952,0.29601,1.39529,2.1181,1.79409,0.00950534,0.00950534,0.00950534
12,37362.2,1.40332,2.46208,1.80897,0.58827,0.42525,0.46565,0.30111,1.38669,2.1019,1.78286,0.00945587,0.00945587,0.00945587
13,38523.8,1.39678,2.42482,1.79765,0.59857,0.42834,0.47049,0.30562,1.37863,2.08664,1.7719,0.00940641,0.00940641,0.00940641
14,39871.2,1.38595,2.39389,1.78079,0.60436,0.43459,0.47572,0.31069,1.37186,2.07293,1.76207,0.00935694,0.00935694,0.00935694
15,1166.73,1.4128,2.47663,1.82268,0.59828,0.43655,0.47909,0.31324,1.36816,2.05775,1.75735,0.00930748,0.00930748,0.00930748
16,2269.14,1.40135,2.44602,1.80701,0.61198,0.43436,0.48347,0.31588,1.36316,2.04282,1.75082,0.00925801,0.00925801,0.00925801
17,3287.02,1.38793,2.4086,1.78619,0.61694,0.43939,0.4875,0.31917,1.35847,2.02971,1.74428,0.00920854,0.00920854,0.00920854
18,4296.52,1.37832,2.38068,1.77351,0.62207,0.44266,0.49185,0.32323,1.35313,2.01758,1.73662,0.00915908,0.00915908,0.00915908
19,5302.04,1.36937,2.34536,1.75861,0.61021,0.45092,0.49661,0.32661,1.34724,2.00496,1.72853,0.00910961,0.00910961,0.00910961
20,6339.93,1.36016,2.31767,1.7472,0.62344,0.45014,0.50087,0.33046,1.34086,1.99375,1.72014,0.00906015,0.00906015,0.00906015
21,7362.68,1.35306,2.30357,1.73819,0.63707,0.4504,0.50507,0.33369,1.3346,1.98194,1.71141,0.00901068,0.00901068,0.00901068
22,8369.63,1.35113,2.28563,1.72872,0.63641,0.45639,0.50873,0.33759,1.32868,1.97045,1.70256,0.00896121,0.00896121,0.00896121
