fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.24519,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.24546,0.01059,0.00915,0.92019,0.0005,3.31416,0.84833,7.21533,0.51897,1.37335,0.01513,0.60727,0.43772,0.0,0.09119,0.46445,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.23949,0.01073,0.00744,0.89109,0.00051,3.49544,0.84833,8.32992,0.46047,1.41105,0.01355,0.66779,0.43772,0.0,0.09729,0.47081,0.0,0.0,0.0,0.53235,0.0,1.0,0.0,0.0
0.24129,0.00999,0.0091,0.91769,0.00056,3.0906,0.80299,7.69541,0.48714,1.41686,0.01488,0.61225,0.43772,0.0,0.09119,0.46757,0.0,0.0,0.0,0.48327,0.0,0.96799,0.0,0.0
0.23378,0.01193,0.00974,0.93712,0.00044,3.82521,0.74344,7.56668,0.47737,1.81145,0.01301,0.60727,0.53998,0.0,0.07632,0.43832,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.24501,0.01148,0.01066,0.92174,0.00051,2.96109,0.95,6.62263,0.54448,1.5,0.01028,0.65608,0.47039,0.0,0.10377,0.60669,0.0,0.0,0.0,0.54305,0.0,1.0,0.0,0.0
0.24117,0.00984,0.01116,0.94392,0.00043,2.8041,0.90079,7.77092,0.46639,1.59763,0.01642,0.7,0.4,0.0,0.11909,0.53253,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.24541,0.01148,0.01066,0.88797,0.00048,2.95293,0.93685,7.25704,0.56787,1.72267,0.01021,0.74365,0.49115,0.0,0.10031,0.53039,0.0,0.0,0.0,0.54305,0.0,0.85102,0.0,0.0
0.23959,0.01148,0.01008,0.91575,0.00062,2.88158,0.95,6.84344,0.56787,2.00895,0.01227,0.80948,0.53884,0.0,0.1181,0.56045,0.0,0.0,0.0,0.51438,0.0,0.83631,0.0,0.0
0.24322,0.01148,0.01044,0.88064,0.00047,3.13685,0.92058,6.91399,0.5166,1.78731,0.01021,0.74794,0.47411,0.0,0.10248,0.55942,0.0,0.0,0.0,0.62006,0.0,0.87637,0.0,0.0
0.24761,0.01046,0.01035,0.937,0.0005,2.92985,0.90485,7.04927,0.74734,1.72782,0.01582,0.85069,0.39418,0.0,0.1,0.52596,0.0,0.0,0.0,0.62501,0.0,0.86358,0.0,0.0
0.24473,0.00942,0.01014,0.87985,0.00048,2.95293,0.95,6.12951,0.57825,1.70839,0.00902,0.85294,0.48644,0.0,0.10031,0.38109,0.0,0.0,0.0,0.59822,0.0,0.85102,0.0,0.0
0.24338,0.01068,0.00999,0.937,0.00046,2.92985,0.87758,6.71663,0.76079,1.64366,0.01582,0.85069,0.39418,0.0,0.10144,0.55912,0.0,0.0,0.0,0.62725,0.0,0.77064,0.0,0.0
0.25063,0.01046,0.0095,0.938,0.00049,3.04733,0.95,7.04927,0.68993,2.10003,0.02008,0.76725,0.39418,0.0,0.10664,0.52596,0.0,0.0,0.0,0.62501,0.0,1.0,0.0,0.0
0.25169,0.01168,0.01225,0.88886,0.00046,2.92985,0.6348,7.66242,0.94731,1.90962,0.01297,0.9,0.40021,0.0,0.11652,0.41353,0.0,0.0,0.0,0.72194,0.0,0.98761,0.0,0.0
0.24894,0.01004,0.00883,0.938,0.00051,2.96388,0.95,7.28274,0.70299,2.11204,0.02008,0.75295,0.39418,0.0,0.10271,0.49006,0.0,0.0,0.0,0.60179,0.0,1.0,0.0,0.0
0.25028,0.01168,0.01225,0.88886,0.00045,2.64491,0.73482,8.77509,0.97889,1.76598,0.01713,0.9,0.4134,0.0,0.12436,0.43374,0.0,0.0,0.0,0.88766,0.0,0.85783,0.0,0.0
0.24282,0.00909,0.00883,0.94851,0.00049,3.17945,0.82935,7.28274,0.60648,2.3171,0.01765,0.75295,0.4921,0.0,0.10271,0.41505,0.0,0.0,0.0,0.59725,0.0,1.0,0.0,0.0
0.2515,0.01042,0.00873,0.938,0.00051,2.96388,0.95,7.30866,0.70299,2.13559,0.02008,0.76538,0.38352,0.0,0.10399,0.49006,0.0,0.0,0.0,0.58467,0.0,1.0,0.0,0.0
0.2487,0.01011,0.00757,0.938,0.00051,2.88793,0.95,7.04927,0.91708,2.10003,0.02161,0.83151,0.28556,0.0,0.10664,0.3341,0.0,0.0,0.0,0.67338,0.0,0.79361,0.0,0.0
0.24874,0.00939,0.0149,0.84156,0.00045,2.94527,0.51678,8.77509,0.97889,2.16599,0.01313,0.9,0.41839,0.0,0.11491,0.44006,0.0,0.0,0.0,1.0,0.0,0.85783,0.0,0.0
0.25487,0.01119,0.01299,0.88979,0.00044,2.79514,0.6348,7.29569,0.89336,1.85223,0.01239,0.81253,0.39891,0.0,0.11652,0.40699,0.0,0.0,0.0,0.65641,0.0,1.0,0.0,0.0
0.25334,0.00772,0.01013,0.88886,0.00053,2.80532,0.6348,6.23969,0.92339,1.97529,0.01207,0.79832,0.31322,0.0,0.11652,0.41353,0.0,0.0,0.0,0.84705,0.0,0.93689,0.0,0.0
0.24434,0.00922,0.01225,0.89725,0.00046,2.80538,0.6348,9.89837,0.94731,1.94349,0.01297,0.9,0.43493,0.0,0.09275,0.44577,0.0,0.0,0.0,0.59258,0.0,0.71704,0.0,0.0
0.25187,0.00772,0.01013,0.88886,0.00054,2.73338,0.61456,6.40929,0.92339,2.02182,0.01207,0.79656,0.32902,0.0,0.11652,0.43074,0.0,0.0,0.0,0.84705,0.0,0.93689,0.0,0.0
0.25312,0.01101,0.01229,0.88979,0.00043,2.92802,0.5851,6.37886,0.83695,1.82009,0.01239,0.81253,0.41276,0.0,0.11652,0.37084,0.0,0.0,0.0,0.6406,0.0,1.0,0.0,0.0
0.25175,0.01165,0.01355,0.86541,0.00044,2.79514,0.66437,8.03887,0.90857,1.41158,0.01561,0.9,0.40302,0.0,0.11652,0.40699,0.0,0.0,0.0,0.65641,0.0,0.86128,0.0,0.0
0.25377,0.01046,0.01346,0.88979,0.00042,2.79514,0.65413,7.29569,0.89336,1.85223,0.01222,0.76789,0.39891,0.0,0.12262,0.40699,0.0,0.0,0.0,0.75318,0.0,1.0,0.0,0.0
0.25388,0.01048,0.01346,0.88978,0.00042,2.77709,0.65413,7.35448,0.89368,1.85223,0.01205,0.76855,0.40339,0.0,0.12262,0.40654,0.0,0.0,0.0,0.75142,0.0,1.0,0.0,0.0
0.25239,0.00797,0.01346,0.97799,0.00042,2.44071,0.56157,6.06854,0.67175,2.15667,0.00828,0.76789,0.39891,0.0,0.13635,0.47831,0.0,0.0,0.0,0.7145,0.0,1.0,0.0,0.0
0.25693,0.00794,0.01013,0.88886,0.00053,2.66057,0.62632,6.01651,0.8653,1.97529,0.01207,0.78018,0.31053,0.0,0.11652,0.39239,0.0,0.0,0.0,0.74826,0.0,0.96161,0.0,0.0
0.25108,0.00793,0.01013,0.88886,0.00053,2.66057,0.62243,5.96765,0.87187,1.94236,0.01201,0.77799,0.30759,0.0,0.11652,0.37923,0.0,0.0,0.0,0.75362,0.0,0.94854,0.0,0.0
0.25568,0.01338,0.01785,0.88978,0.00051,2.07679,0.67967,6.82082,0.78009,1.9474,0.01025,0.77283,0.43928,0.0,0.12144,0.36106,0.0,0.0,0.0,0.75142,0.0,1.0,0.0,0.0
0.25133,0.00721,0.01068,0.88638,0.00061,2.52097,0.86931,7.51939,0.8653,1.97529,0.01207,0.78018,0.42317,0.0,0.10797,0.44062,0.0,0.0,0.0,0.74826,0.0,0.92521,0.0,0.0
0.25597,0.01338,0.0197,0.90713,0.00043,2.28275,0.64854,6.82082,0.78009,1.9474,0.00941,0.79709,0.43928,0.0,0.13904,0.29825,0.0,0.0,0.0,0.7062,0.0,0.87975,0.0,0.0
0.25749,0.01019,0.02049,0.97376,0.00046,2.05667,0.65974,7.51808,0.72867,1.9474,0.00984,0.81387,0.49015,0.0,0.13904,0.35452,0.0,0.0,0.0,0.73031,0.0,1.0,0.0,0.0
0.25148,0.00993,0.02069,0.96839,0.00047,2.11469,0.65974,7.70083,0.7308,1.90207,0.00958,0.81983,0.52378,0.0,0.13637,0.36259,0.0,0.0,0.0,0.73329,0.0,0.9895,0.0,0.0
0.25673,0.01335,0.01975,0.9074,0.00043,2.27984,0.65237,6.79505,0.76207,1.94114,0.00941,0.80073,0.45319,0.0,0.13653,0.29368,0.0,0.0,0.0,0.70781,0.0,0.8871,0.0,0.0
0.25245,0.00989,0.02049,0.98,0.00046,2.11238,0.65974,7.93508,0.77692,1.85081,0.01049,0.85034,0.49015,0.0,0.14063,0.33534,0.0,0.0,0.0,0.64995,0.0,1.0,0.0,0.0
0.25238,0.01175,0.02022,0.89041,0.00045,2.27984,0.61913,7.24583,0.83068,2.15411,0.00924,0.69853,0.4919,0.0,0.10961,0.33249,0.0,0.0,0.0,0.70781,0.0,0.78187,0.0,0.0
0.26023,0.00864,0.00947,0.88886,0.0005,2.66057,0.71976,7.13571,0.90398,1.94516,0.01233,0.78018,0.26936,0.0,0.13852,0.42216,0.0,0.0,0.0,0.74826,0.0,1.0,0.0,0.0
0.26099,0.00762,0.00973,0.92013,0.0005,2.47975,0.68573,7.13571,0.86648,1.98922,0.01241,0.72901,0.27304,0.0,0.13705,0.41594,0.0,0.0,0.0,0.76662,0.0,1.0,0.0,0.0
0.25616,0.00996,0.00698,0.88886,0.00045,2.81513,0.61427,7.36904,1.09519,2.1245,0.01233,0.76731,0.28718,0.0,0.11714,0.42216,0.0,0.0,0.0,0.86758,0.0,1.0,0.0,0.0
0.24791,0.0103,0.01075,0.81385,0.00039,3.11929,0.71976,8.08688,0.96099,2.1136,0.01557,0.82632,0.24981,0.0,0.1675,0.4885,0.0,0.0,0.0,0.63321,0.0,0.84866,0.0,0.0
0.24877,0.00602,0.00828,0.92013,0.00054,3.16881,0.68573,8.08185,0.86648,2.24337,0.01289,0.52467,0.25292,0.0,0.10813,0.41594,0.0,0.0,0.0,0.95693,0.0,1.0,0.0,0.0
0.25534,0.00822,0.00973,0.92013,0.00058,2.38566,0.7825,6.85921,0.81339,1.98922,0.01289,0.81207,0.35694,0.0,0.13876,0.38157,0.0,0.0,0.0,0.64135,0.0,1.0,0.0,0.0
0.25788,0.00864,0.00915,0.86735,0.00049,2.66057,0.68498,6.19873,0.91239,1.76817,0.01166,0.69393,0.27382,0.0,0.14345,0.42526,0.0,0.0,0.0,0.75782,0.0,0.98046,0.0,0.0
