epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.08,2.55873,3.39617,2.67169,0.30755,0.14121,0.09685,0.04166,2.0028,2.33843,1.97709,0.000277622,0.000277622,0.000277622
2,1476.15,1.82856,2.26198,1.77468,0.36067,0.24138,0.22416,0.11849,1.70509,1.83293,1.68404,0.000445341,0.000445341,0.000445341
1,736.662,2.55873,3.39617,2.67169,0.30755,0.14121,0.09685,0.04166,2.0028,2.33843,1.97709,0.000277622,0.000277622,0.000277622
2,1436,1.82856,2.26198,1.77468,0.36067,0.24138,0.22416,0.11849,1.70509,1.83293,1.68404,0.000445341,0.000445341,0.000445341
1,744.983,2.55873,3.39617,2.67169,0.30755,0.14121,0.09685,0.04166,2.0028,2.33843,1.97709,0.000277622,0.000277622,0.000277622
2,1449.83,1.82856,2.26198,1.77468,0.36067,0.24138,0.22416,0.11849,1.70509,1.83293,1.68404,0.000445341,0.000445341,0.000445341
3,2139.41,1.65322,1.96418,1.61812,0.46554,0.2916,0.30129,0.17474,1.57044,1.62104,1.55564,0.000503105,0.000503105,0.000503105
4,2823.43,1.55101,1.79189,1.52956,0.49603,0.33347,0.34692,0.20954,1.49222,1.49552,1.48418,0.000338198,0.000338198,0.000338198
5,3507.81,1.47739,1.66238,1.47133,0.53874,0.35113,0.37659,0.23059,1.45091,1.42569,1.44689,0.000173264,0.000173264,0.000173264
1,740.863,2.91696,3.11454,2.66416,0.31687,0.12495,0.08594,0.03717,2.30275,2.19776,1.99016,0.000285161,0.000285161,0.000285161
2,1442.81,2.09849,2.09064,1.77776,0.44744,0.23205,0.21607,0.11386,1.96446,1.70446,1.67816,0.000457384,0.000457384,0.000457384
3,2132.23,1.89291,1.8133,1.61663,0.52174,0.28339,0.28957,0.16689,1.80306,1.4951,1.55345,0.000502982,0.000502982,0.000502982
4,2816.01,1.76807,1.64586,1.52379,0.47684,0.32542,0.33689,0.20425,1.70916,1.37454,1.47834,0.000337973,0.000337973,0.000337973
5,3497.93,1.68262,1.52625,1.46506,0.50881,0.35025,0.36838,0.22641,1.6613,1.30858,1.44267,0.000172964,0.000172964,0.000172964
1,742.213,2.41297,3.13444,2.68227,0.29899,0.14715,0.09413,0.04164,1.91278,2.15916,1.99806,0.000277397,0.000277397,0.000277397
2,1443.58,1.72367,2.085,1.78369,0.3484,0.2426,0.22067,0.1184,1.61259,1.68151,1.68224,0.000444955,0.000444955,0.000444955
3,2131.64,1.55373,1.80454,1.61972,0.45346,0.28643,0.29792,0.17274,1.48166,1.48757,1.55428,0.000502621,0.000502621,0.000502621
4,2812.99,1.4531,1.64293,1.52919,0.51268,0.331,0.3449,0.2097,1.40941,1.3742,1.4843,0.000338083,0.000338083,0.000338083
5,3494.48,1.38405,1.52403,1.47016,0.51569,0.35186,0.37149,0.22938,1.37174,1.31151,1.44808,0.000173111,0.000173111,0.000173111
1,742.086,2.50337,3.4047,2.65474,0.29444,0.13893,0.08977,0.03798,1.97362,2.33767,1.9676,0.000273831,0.000273831,0.000273831
2,1443.93,1.78398,2.26033,1.7597,0.3547,0.25153,0.22384,0.11786,1.66028,1.83614,1.66474,0.00043924,0.00043924,0.00043924
3,2131.74,1.60901,1.95754,1.60006,0.47722,0.29223,0.30053,0.17374,1.52309,1.60893,1.53578,0.000496174,0.000496174,0.000496174
4,2814.89,1.50846,1.78337,1.51513,0.49981,0.32136,0.34466,0.20844,1.44756,1.49189,1.46809,0.000338103,0.000338103,0.000338103
5,3496.79,1.43492,1.65128,1.45675,0.53272,0.34935,0.37515,0.23189,1.40605,1.41649,1.43062,0.000173137,0.000173137,0.000173137
1,742.245,2.30799,3.90828,2.90158,0.29422,0.14394,0.09342,0.04066,1.80574,2.64511,2.14272,0.000273831,0.000273831,0.000273831
2,1444.73,1.65763,2.60701,1.9434,0.33554,0.23529,0.21778,0.11533,1.53345,2.09928,1.81906,0.000439126,0.000439126,0.000439126
3,2131.9,1.49984,2.2628,1.76525,0.43823,0.29888,0.30124,0.17521,1.41008,1.8559,1.68108,0.000495832,0.000495832,0.000495832
4,2813.41,1.40503,2.06216,1.67031,0.50519,0.31716,0.34198,0.20808,1.3443,1.71623,1.61134,0.000337583,0.000337583,0.000337583
5,3496.01,1.33956,1.91112,1.60685,0.50928,0.35153,0.37152,0.22826,1.30879,1.63985,1.57124,0.000172444,0.000172444,0.000172444
1,741.857,2.39933,3.77746,2.64555,0.30665,0.16175,0.10308,0.04469,1.88865,2.61134,1.98038,0.000277397,0.000277397,0.000277397
2,1444.11,1.71352,2.50195,1.76042,0.35995,0.25027,0.23483,0.12402,1.59516,2.03408,1.66414,0.000445011,0.000445011,0.000445011
3,2132.17,1.5469,2.17027,1.60307,0.42512,0.29068,0.30848,0.18025,1.46738,1.78283,1.53992,0.00050279,0.00050279,0.00050279
4,2815.82,1.45266,1.97671,1.51617,0.50238,0.33633,0.35276,0.21423,1.39966,1.65107,1.47267,0.000338338,0.000338338,0.000338338
5,3499.09,1.38459,1.83445,1.45657,0.54255,0.35642,0.38125,0.23419,1.36235,1.57382,1.4337,0.000173451,0.000173451,0.000173451
1,743.853,2.52163,3.39428,2.72756,0.16311,0.15726,0.08938,0.0398,1.98408,2.33854,2.02413,0.00027196,0.00027196,0.00027196
2,1446.76,1.80353,2.26646,1.82264,0.38528,0.2458,0.22342,0.1188,1.66709,1.84043,1.71053,0.000436251,0.000436251,0.000436251
3,2135.15,1.6293,1.96261,1.65255,0.43394,0.29528,0.30077,0.17353,1.54354,1.61361,1.58714,0.000492819,0.000492819,0.000492819
4,2817.37,1.52217,1.78375,1.56343,0.51618,0.31787,0.34527,0.20842,1.46671,1.49537,1.51992,0.000338158,0.000338158,0.000338158
5,3500.47,1.45017,1.66236,1.5064,0.50107,0.3536,0.3716,0.22946,1.42761,1.42556,1.4807,0.000173211,0.000173211,0.000173211
1,743.263,2.56282,3.79744,3.13859,0.39039,0.12578,0.09021,0.03917,2.0162,2.61834,2.34135,0.000275713,0.000275713,0.000275713
2,1445.19,1.84256,2.52646,2.09846,0.33952,0.24903,0.21838,0.11717,1.70398,2.05773,1.97572,0.000442105,0.000442105,0.000442105
3,2132.3,1.6665,2.20504,1.91315,0.43722,0.29057,0.29407,0.16949,1.56094,1.80877,1.83167,0.000499121,0.000499121,0.000499121
4,2813.38,1.56347,2.00326,1.80955,0.49692,0.32561,0.3411,0.20617,1.48221,1.66473,1.74366,0.000337403,0.000337403,0.000337403
5,3494.86,1.48916,1.8586,1.73943,0.52183,0.34979,0.37071,0.22646,1.44162,1.59305,1.69916,0.000172204,0.000172204,0.000172204
1,744.385,2.45703,3.79207,2.6272,0.29623,0.14194,0.09705,0.04159,1.93776,2.62185,1.9572,0.000263313,0.000263313,0.000263313
2,1447.39,1.75644,2.51799,1.74524,0.33888,0.25093,0.22687,0.12093,1.63217,2.05211,1.64828,0.000422412,0.000422412,0.000422412
3,2135.74,1.58824,2.19241,1.58769,0.43372,0.29336,0.302,0.17515,1.50649,1.80708,1.5241,0.000477245,0.000477245,0.000477245
4,2817.89,1.49139,1.99899,1.50011,0.48218,0.33042,0.35152,0.21203,1.43327,1.67569,1.45674,0.000338308,0.000338308,0.000338308
5,3501.08,1.41844,1.85166,1.4414,0.50828,0.3545,0.37518,0.23007,1.39207,1.59411,1.41802,0.000173411,0.000173411,0.000173411
1,748.718,3.03955,3.37344,2.93633,0.38297,0.11638,0.08358,0.03661,2.37223,2.30301,2.13197,0.000222028,0.000222028,0.000222028
2,1457.52,2.16508,2.24182,1.92291,0.45878,0.24028,0.22039,0.11773,2.00016,1.80292,1.80235,0.000356196,0.000356196,0.000356196
3,2149.42,1.94679,1.93711,1.74169,0.5331,0.28018,0.29247,0.16929,1.85072,1.59866,1.67782,0.000402462,0.000402462,0.000402462
4,2831.78,1.82691,1.76912,1.64761,0.52128,0.30962,0.33597,0.20269,1.75474,1.47846,1.60018,0.000338393,0.000338393,0.000338393
5,3512.66,1.73739,1.64329,1.58342,0.53213,0.32834,0.36039,0.22192,1.70457,1.41208,1.55946,0.000173524,0.000173524,0.000173524
1,739.853,2.06391,3.77455,2.59031,0.30312,0.13932,0.09186,0.03869,1.62095,2.59479,1.92952,0.000277397,0.000277397,0.000277397
2,1439.84,1.47719,2.50335,1.73088,0.3771,0.25019,0.22244,0.11918,1.3744,2.02576,1.63438,0.000444886,0.000444886,0.000444886
3,2127.68,1.33679,2.1709,1.57209,0.4277,0.30537,0.30027,0.17531,1.2608,1.78979,1.50618,0.000502414,0.000502414,0.000502414
4,2809.37,1.25392,1.97821,1.48669,0.52177,0.33316,0.3525,0.21429,1.19902,1.64981,1.44002,0.000337773,0.000337773,0.000337773
5,3490.23,1.1948,1.83351,1.42846,0.53299,0.35162,0.3815,0.23422,1.16751,1.57349,1.40368,0.000172698,0.000172698,0.000172698
1,743.163,2.14613,3.42437,2.71471,0.29617,0.14326,0.0944,0.04056,1.66728,2.33564,2.00291,0.000263165,0.000263165,0.000263165
2,1446.29,1.53127,2.26929,1.79992,0.46586,0.24759,0.22943,0.12411,1.41751,1.83953,1.69547,0.000422008,0.000422008,0.000422008
3,2134.71,1.38325,1.97029,1.63197,0.53588,0.28475,0.29895,0.1762,1.30711,1.62842,1.56896,0.000476477,0.000476477,0.000476477
4,2817.36,1.30197,1.79788,1.5475,0.52785,0.31944,0.34703,0.21026,1.24287,1.50706,1.50068,0.000337518,0.000337518,0.000337518
5,3500.02,1.23878,1.66514,1.48657,0.54025,0.3494,0.37754,0.23126,1.20819,1.43309,1.46076,0.000172358,0.000172358,0.000172358
1,740.44,2.30705,3.76017,2.61263,0.2997,0.13639,0.09454,0.0409,1.8164,2.60465,1.94388,0.000277008,0.000277008,0.000277008
2,1442.58,1.6471,2.49686,1.73423,0.47362,0.24341,0.23318,0.12367,1.53293,2.0336,1.63911,0.000444387,0.000444387,0.000444387
3,2129.48,1.48745,2.16738,1.58228,0.54555,0.28455,0.30481,0.17679,1.41358,1.79371,1.52171,0.000502085,0.000502085,0.000502085
4,2810.03,1.39633,1.97312,1.4976,0.52228,0.32627,0.34851,0.20977,1.34697,1.65533,1.45681,0.000338338,0.000338338,0.000338338
5,3491.27,1.33116,1.83215,1.44087,0.53071,0.35488,0.37588,0.23087,1.30844,1.57731,1.41685,0.000173451,0.000173451,0.000173451
1,745.973,1.63963,3.83248,2.82133,0.15938,0.13612,0.08814,0.03772,1.28341,2.62548,2.10074,0.000233254,0.000233254,0.000233254
2,1453.31,1.16518,2.53478,1.87628,0.34863,0.25126,0.22535,0.11825,1.08571,2.04839,1.75965,0.000373813,0.000373813,0.000373813
3,2145.89,1.04986,2.18251,1.69287,0.46001,0.29336,0.29806,0.17062,1.00145,1.80505,1.62504,0.000421632,0.000421632,0.000421632
4,2827.36,0.98673,1.98517,1.59961,0.51914,0.33556,0.34987,0.20736,0.95283,1.66354,1.55345,0.000336289,0.000336289,0.000336289
