epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.31,2.56375,4.59523,2.59526,0.34882,0.08988,0.04632,0.01725,2.14577,3.61518,2.08515,0.000335384,0.000335384,0.000335384
2,811.754,1.97162,3.21653,1.82168,0.30967,0.17601,0.14218,0.06555,1.85978,2.74755,1.66385,0.000604641,0.000604641,0.000604641
3,1172.62,1.78045,2.78204,1.62063,0.36974,0.20887,0.2008,0.10373,1.73549,2.57244,1.55762,0.000729291,0.000729291,0.000729291
4,1530.57,1.67394,2.54649,1.51959,0.38161,0.26971,0.25894,0.13853,1.62539,2.3186,1.45194,0.000639436,0.000639436,0.000639436
5,1885.46,1.59817,2.3684,1.44872,0.42896,0.30431,0.30308,0.17106,1.55642,2.2187,1.40795,0.000549581,0.000549581,0.000549581
6,2242.31,1.54486,2.24102,1.3973,0.47082,0.33167,0.33766,0.19419,1.51536,2.0854,1.36957,0.000459727,0.000459727,0.000459727
7,2599.7,1.501,2.1349,1.36005,0.49932,0.34053,0.3583,0.20922,1.47485,2.02007,1.3354,0.000369872,0.000369872,0.000369872
8,2962.51,1.46547,2.05624,1.33374,0.5102,0.36428,0.38554,0.22828,1.44447,1.92281,1.30491,0.000280017,0.000280017,0.000280017
9,3368.72,1.43704,1.98643,1.30921,0.52216,0.37595,0.40173,0.24017,1.42488,1.86647,1.28485,0.000190163,0.000190163,0.000190163
10,3956.26,1.40976,1.92533,1.28716,0.56683,0.37641,0.41605,0.25082,1.40559,1.83143,1.27078,0.000100308,0.000100308,0.000100308
