fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.25628,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.25869,0.01142,0.01,0.92963,0.00057,3.0,0.75061,6.78778,0.5,1.58884,0.01297,0.64765,0.39091,0.0,0.08999,0.45672,0.0,0.0,0.0,0.5,0.0,0.95696,0.0,0.0
0.25785,0.01142,0.01116,0.89092,0.00059,2.52367,0.63577,6.76636,0.5,1.57416,0.01297,0.66196,0.39091,0.0,0.09025,0.44992,0.0,0.0,0.0,0.48383,0.0,0.83662,0.0,0.0
0.25728,0.013,0.01,0.92963,0.00057,3.22637,0.67824,7.58206,0.47249,1.50305,0.01384,0.64765,0.37657,0.0,0.11041,0.44572,0.0,0.0,0.0,0.56559,0.0,0.86819,0.0,0.0
0.26327,0.01079,0.01089,0.92065,0.00059,2.7139,0.5897,6.39639,0.5,1.55432,0.01162,0.67929,0.36143,0.0,0.09059,0.46275,0.0,0.0,0.0,0.48383,0.0,0.86439,0.0,0.0
0.25835,0.01079,0.01089,0.91979,0.00059,2.70283,0.58927,6.39639,0.4996,1.55766,0.01162,0.67955,0.36099,0.0,0.09066,0.46275,0.0,0.0,0.0,0.48383,0.0,0.86439,0.0,0.0
0.26102,0.01258,0.01008,0.89949,0.00041,2.74539,0.5897,6.39639,0.54049,1.29504,0.01162,0.68746,0.36143,0.0,0.07819,0.48646,0.0,0.0,0.0,0.48992,0.0,0.86439,0.0,0.0
0.26369,0.01079,0.01157,0.88964,0.00059,2.7139,0.5897,6.90165,0.5,1.39332,0.01162,0.71396,0.44815,0.0,0.09059,0.35033,0.0,0.0,0.0,0.39615,0.0,0.61952,0.0,0.0
0.26832,0.01079,0.01234,0.89552,0.0006,2.71599,0.5897,6.19508,0.54505,1.22655,0.01098,0.6426,0.44769,0.0,0.10228,0.32917,0.0,0.0,0.0,0.39057,0.0,0.61952,0.0,0.0
0.26734,0.01042,0.0115,0.90393,0.0006,2.70902,0.58475,6.08296,0.53808,1.20279,0.01098,0.63238,0.4528,0.0,0.10242,0.33085,0.0,0.0,0.0,0.40132,0.0,0.6098,0.0,0.0
